Region,ZoneSubzone,SS_NoSpace,Species,Suitability,PreferredAcceptable,Standard,FN1,FN2,FN3,FN4,FN5
Nelson,PPdh2,PPdh2/04,Act,1,X,999.9,,,,,
Vancouver,CWHdm,CWHdm/10,Act,3,X,1000.9,901,,,,
Vancouver,CDFmm,CDFmm/09,Act,3,X,1001.9,901,,,,
Nelson,PPdh1,PPdh1/06,Act,2,X,1002.9,,,,,
Pr Rupert,CWHws2,CWHws2/09,Act,3,X,1003.9,901,,,,
Vancouver,CWHms1,CWHms1/09,Act,3,X,1004.9,901,,,,
Nelson,PPdh2,PPdh2/04,Act,3,X,1005.9,901,,,,
Vancouver,CWHxm1,CWHxm1/10,Act,3,X,1006.9,901,,,,
Kamloops,BGxh2,BGxh2/07,Act,3,X,1007.9,901,,,,
Vancouver,CWHmm1,CWHmm1/10,Act,3,X,1008.9,901,,,,
Vancouver,CWHms2,CWHms2/09,Act,3,X,1009.9,901,,,,
Vancouver,CWHds2,CWHds2/10,Act,3,X,1010.9,901,,,,
Pr Rupert,CWHws1,CWHws1/09,Act,3,X,1011.9,901,,,,
Nelson,PPdh1,PPdh1/06,Act,3,X,1012.9,901,,,,
Vancouver,CWHvm1,CWHvm1/11,Act,3,X,1013.9,901,,,,
Vancouver,CWHws2,CWHws2/09,Act,3,X,1014.9,901,,,,
Kamloops,BGxh1,BGxh1/07,Act,3,X,1015.9,901,,,,
Vancouver,CWHxm2,CWHxm2/10,Act,3,X,1016.9,901,,,,
Vancouver,CWHds1,CWHds1/10,Act,3,X,1017.9,901,,,,
Kamloops,BGxh1,BGxh1/06,Act,3,X,1018.9,901,,,,
Kamloops,BGxh1,BGxh1/06,At,3,X,1019.9,901,,,,
Kamloops,BGxh2,BGxh2/07,At,3,X,1020.9,901,,,,
Nelson,PPdh1,PPdh1/06,At,2,X,1021.9,,,,,
Kamloops,BGxw1,BGxw1/08,At,3,X,1022.9,901,,,,
Nelson,PPdh1,PPdh1/06,At,3,X,1023.9,901,,,,
Kamloops,BGxh1,BGxh1/07,At,3,X,1024.9,901,,,,
Kamloops,BGxh1,BGxh1/05,At,3,X,1025.9,901,,,,
Cariboo,ESSFdc2,ESSFdc2/02,Bl,3,A,1026.9,13,,,,
Kamloops,ESSFdc2,ESSFdc2/02,Bl,3,A,1027.9,13,,,,
Pr Rupert,CWHws1,CWHws1/09,Dr,3,X,1028.9,901,,,,
Vancouver,CWHds1,CWHds1/10,Dr,3,X,1029.9,901,,,,
Vancouver,CWHvh2,CWHvh2/10,Dr,3,X,1030.9,901,,,,
Vancouver,CWHmm1,CWHmm1/10,Dr,3,X,1031.9,901,,,,
Vancouver,CWHdm,CWHdm/10,Dr,3,X,1032.9,901,,,,
Vancouver,CWHvh1,CWHvh1/10,Dr,3,X,1033.9,901,,,,
Vancouver,CWHms1,CWHms1/09,Dr,3,X,1034.9,901,,,,
Vancouver,CWHds2,CWHds2/10,Dr,3,X,1035.9,901,,,,
Vancouver,CWHxm1,CWHxm1/10,Dr,3,X,1036.9,901,,,,
Vancouver,CWHms2,CWHms2/09,Dr,3,X,1037.9,901,,,,
Vancouver,CWHws2,CWHws2/09,Dr,3,X,1038.9,901,,,,
Vancouver,CWHvm1,CWHvm1/11,Dr,3,X,1039.9,901,,,,
Pr Rupert,CWHvh2,CWHvh2/10,Dr,3,X,1040.9,901,,,,
Pr Rupert,CWHws2,CWHws2/09,Dr,3,X,1041.9,901,,,,
Vancouver,CWHxm2,CWHxm2/10,Dr,3,X,1042.9,901,,,,
Vancouver,CDFmm,CDFmm/09,Dr,3,X,1043.9,901,,,,
Nelson,PPdh1,PPdh1/06,Ep,3,X,1044.9,901,,,,
Nelson,PPdh2,PPdh2/04,Ep,3,X,1045.9,901,,,,
Kamloops,BGxh2,BGxh2/07,Ep,3,X,1046.9,901,,,,
Vancouver,CWHds1,CWHds1/10,Ep,3,X,1047.9,901,,,,
Vancouver,CWHds2,CWHds2/10,Ep,3,X,1048.9,901,,,,
Vancouver,CWHws2,CWHws2/09,Ep,3,X,1049.9,901,,,,
Kamloops,BGxh1,BGxh1/06,Ep,3,X,1050.9,901,,,,
Vancouver,CWHxm2,CWHxm2/10,Ep,3,X,1051.9,901,,,,
Kamloops,BGxh1,BGxh1/07,Ep,3,X,1052.9,901,,,,
Vancouver,CWHxm1,CWHxm1/10,Ep,3,X,1053.9,901,,,,
Vancouver,CWHms1,CWHms1/09,Ep,3,X,1054.9,901,,,,
Vancouver,CWHms2,CWHms2/09,Ep,3,X,1055.9,901,,,,
Vancouver,CWHdm,CWHdm/10,Ep,3,X,1056.9,901,,,,
Kamloops,BGxh2,BGxh2/07,Fd,2,P,1057.9,1,,,,
Kamloops,BGxw1,BGxw1/05,Fd,3,A,1058.9,27,,,,
Kamloops,BGxh1,BGxh1/07,Fd,2,P,1059.9,1,,,,
Kamloops,BGxh2,BGxh2/04,Fd,3,A,1060.9,27,,,,
Kamloops,BGxh1,BGxh1/06,Fd,1,X,1061.9,,,,,
Kamloops,BGxh1,BGxh1/05,Fd,2,P,1062.9,27,,,,
Kamloops,BGxh1,BGxh1/04,Fd,2,P,1063.9,27,,,,
Kamloops,BGxw1,BGxw1/08,Fd,3,P,1064.9,32,,,,
Kamloops,BGxw1,BGxw1/03,Fd,3,A,1065.9,27,,,,
Vancouver,CWHvh1,CWHvh1/10,Mb,3,X,1066.9,901,,,,
Vancouver,CWHms2,CWHms2/09,Mb,3,X,1067.9,901,,,,
Vancouver,CWHms1,CWHms1/09,Mb,3,X,1068.9,901,,,,
Vancouver,CWHmm1,CWHmm1/10,Mb,3,X,1069.9,901,,,,
Vancouver,CWHds1,CWHds1/10,Mb,3,X,1070.9,901,,,,
Vancouver,CWHvm1,CWHvm1/11,Mb,3,X,1071.9,901,,,,
Vancouver,CWHds2,CWHds2/10,Mb,3,X,1072.9,901,,,,
Vancouver,CWHxm2,CWHxm2/10,Mb,3,X,1073.9,901,,,,
Vancouver,CWHdm,CWHdm/10,Mb,3,X,1074.9,901,,,,
Vancouver,CDFmm,CDFmm/09,Mb,3,X,1075.9,901,,,,
Vancouver,CWHxm1,CWHxm1/10,Mb,3,X,1076.9,901,,,,
Kamloops,BGxw1,BGxw1/02,NS,1,X,1077.9,,,,,
Kamloops,BGxw1,BGxw1/02,NS,1,X,1078.9,,,,,
Kamloops,BGxh1,BGxh1/01,NS,1,X,1079.9,,,,,
Kamloops,BGxh1,BGxh1/01,NS,1,X,1080.9,,,,,
Kamloops,BGxh1,BGxh1/01,NS,1,X,1081.9,,,,,
Kamloops,BGxw1,BGxw1/02,NS,1,X,1082.9,,,,,
Kamloops,BGxw1,BGxw1/02,NS,1,X,1083.9,,,,,
Kamloops,BGxh1,BGxh1/01,NS,1,X,1084.9,,,,,
Kamloops,BGxw1,BGxw1/01,NS,1,X,1085.9,,,,,
Pr Rupert,SBSdk,SBSdk/82,NS,1,P,1086.9,,,,,
Kamloops,BGxw1,BGxw1/09,NS,1,X,1087.9,,,,,
Pr Rupert,SBSdk,SBSdk/82,NS,1,P,1088.9,,,,,
Kamloops,BGxh1,BGxh1/03,NS,1,X,1089.9,,,,,
Kamloops,BGxh1,BGxh1/03,NS,1,X,1090.9,,,,,
Kamloops,BGxh1,BGxh1/03,NS,1,X,1091.9,,,,,
Kamloops,BGxh1,BGxh1/03,NS,1,X,1092.9,,,,,
Kamloops,BGxh1,BGxh1/02,NS,1,X,1093.9,,,,,
Kamloops,BGxh1,BGxh1/02,NS,1,X,1094.9,,,,,
Kamloops,BGxh1,BGxh1/02,NS,1,X,1095.9,,,,,
Kamloops,BGxh1,BGxh1/02,NS,1,X,1096.9,,,,,
