SS_NoSpace,edatopic
0-A,A0
0-A,B0
0-C,C0
0-E,D0
0-E,E0
2-A,A1
2-A,B1
2-A,B2
2-A,A2
2-C,C1
2-C,C2
2-E,D1
2-E,E1
2-E,D2
2-E,E2
4-A,A3
4-A,B3
4-A,A4
4-A,B4
4-C,C3
4-C,C4
4-E,D3
4-E,E3
4-E,D4
4-E,E4
6-A,A5
6-A,B5
6-A,A6
6-A,B6
6-C,C5
6-C,C6
6-E,D5
6-E,E5
6-E,D6
6-E,E6
8-A,A7
8-A,B7
8-C,C7
8-E,D7
8-E,E7
