Data,Version,Date
BC_BGC_Map,v13,2021-09-10
WNA_BGC_Map,v12.2,2021-09-10
climr,v0.1.1,2021-09-10
BGC_Model,v12.2,2021-09-10
ReferenceGuide,v2021,2021-09-10
Suitability Table,v13_16,2025-04-14
Edatopic Table,v13_9,2025-04-10
