classification,colour
MSmm_ID,#df49c9
CMAun_OR,#cfdecf
BWBSlbE,#516eb5
MSdk_CO,#e50f6f
ICHmw_MT,#86e869
BWBScmE,#4797e7
BWBScmC,#487fb7
BWBSlbN,#4f7acf
BGwm_WA,#d51925
ICHxw_ID,#7dcd15
JPWdw_UT,#a77274
CWHvh_WA,#3bd04f
BWBSlbW,#2d5391
IGFdw_OR,#4c9edc
GBDdw_UT,#a4a487
CWHdm_WC,#becf50
ICHdh_ID,#71d86b
IMAun_WY,#ebf3f3
CWHdm_WA,#1bb926
OWdm_OR,#b0cf13
IMAun_ID,#e7ddd2
MSdh_WY,#e02dab
ESSFabC,#c155d9
BWBSlf,#253cec
CWHwh_WA,#70eb74
ESSFabE,#b62dd8
CWFmm_OR,#0d47ab
ICHxh_ID,#becf50
CMXmm_OR,#88abbe
MSabN,#d53c55
BWBSdmN,#5a7e99
MHdm_OR,#7f0fef
IMAun_WA,#f2effe
MSabS,#ca2859
BWBSdmS,#a6c8f3
MSxk_WA,#d720a9
ESSFdw_ID,#987db7
PPmx_WY,#ef9c15
IDFxh_OR,#e8e818
ICHdw_ID,#1be714
CWHvm_WA,#289838
MMMdk_NV,#c43c39
IDFdx_MT,#dad974
CWHms6,#60ff17
MSdh_UT,#d158a1
MHRFmm_OR,#805fb2
BGmw_WA,#e4585d
IDFxm_CO,#d4cf29
MGPdm,#bb8027
FGff,#dbb74a
IDFww2,#e5c836
ESSFxx_WY,#e035e5
ESSFdm_ID,#5f2af0
IDFdk_WA,#d0cc51
MHRFdm_OR,#74477a
SGPdm_CO,#ded479
MSdm_WA,#e03f9d
BGdw_OR,#f5453f
GOun_CO,#5d65d0
IGFxm_OR,#acd9e5
OWun_CA,#c4bd7d
BGxx_WY,#df325e
ESSFxk_MT,#d683dd
IDFdh_WA,#deec18
SBAPfp,#1da5e8
MHds_WA,#8d5a99
ESSFdh_WA,#671da7
CWFwm_OR,#2168cb
IMAab,#dff8f1
PPxh_WA,#e7ab1d
GBDxh_NV,#a09d85
CDFxm_CA,#fcfc1f
IWFdw_OR,#77d0ad
IMAun_CO,#eaead9
PPxx_OR,#d28212
IDFdh_UT,#dbe33c
CWHxm_OR,#87ec91
PPxw_MT,#cd8f25
IDFww1,#efe937
IDFxx_MT,#e0df7d
JPWxh_CA,#a87e86
ESSFmw,#ab1cdf
