"index","GCM","SSP","RUN","PERIOD","BAFAun","BGxh2","BGxh3","BGxw1","BGxw2","ESSFdk2","ESSFdkp","ESSFdkw","ESSFmc","ESSFmv1","ESSFwc2","ESSFwc3","ESSFwcp","ESSFwcw","ESSFwk1","ESSFwv","ESSFwvp","ESSFwvw","ESSFxc2","ESSFxc3","ESSFxcp","ESSFxv1","ICHdk","ICHmc1","ICHmk3","ICHmw3","ICHwk2","IDFdk1","IDFdk3","IDFdk4","IDFmw2","IDFxh2","IDFxm","IDFxw","IMAun","IMAun_CO","MSabN","MSdc2","MSxk2","MSxk3","MSxv","PPxh2","SBAPfp","SBPSmk","SBPSxc","SBSdk","SBSdw1","SBSdw2","SBSmc1","SBSmc2","SBSmc3","SBSmk1","SBSmm","SBSmw","SBSwk1","BGmk_MT","ESSFdc2","ESSFdcw","ESSFmv3","ESSFwm1","ESSFwmp","ESSFxcw","ESSFxk_WY","ICHmk1","ICHmk4","IDFdkx_MT","IDFxm_CO","IMAab","IWFdm_CO","MGPmg","MGPmw_MT","MSdh_WY","MSdk","MSdm1","PPxh1","SBPSdc","SBPSmc","BGxh1","ESSFdc1","ESSFwc4","ESSFwh1","ESSFxc1","ICHdw3","ICHmw5","IDFdh_UT","IDFdk2","JPWdw_UT","MSdw","MSxk1","SBSmh","BGdw_WA","BGxh_WA","ESSFdk1","ESSFmh","ESSFwmw","ICHxm1","IDFdk5","IDFdm_WA","IDFdm1","IDFdm2","IDFxk","JPWdm_WY","MGPdm","ESSFabS","ICHmc2","IDFdh","IDFdk_MT","IDFdx_MT","IDFxh1","IDFxx2","MSdm_WA","MSdm2","ICHmk2","ICHwk4","SBSvk","ESSFabC","ESSFwk2","ICHvk2","IMAun_WY","SBSwk3","ICHmw2","BWBSdk","BWBSdmN","BWBSmw","BWBSuf","ESSFabN","ESSFmv2","SBSdw3","BWBScmW","BWBSlf","BWBSwk1","FGnf","SBAPcp","SWBmk","ESSFmmp","SBSwk2","ESSFxvp","CWHws2","IDFdm_MT","MSxm_CO","ICHdw4","ICHwk1","PPxw_MT","PPxh_CO","GOun_CO","MHmmp","ESSFwh3","MSdw_MT","ICHwk3","ESSFwh2","ESSFwm2","ICHdm","SGPdm_CO","BGmw_WA","GBDxx_UT","ICHdw_ID","ICHdw1","IDFxx1","PPxh_WA","SBSdh1","ESSFwm_MT","ESSFwm4","ESSFxh_WA","ICHxw","ICHxw_WA","IMAun_MT","JPWxw_NV","ESSFwm3","ICHmw4","ICHmh_MT","MSxx_NV","ICHvk1","ICHvc","ESSFdk_MT","ICHxwa","IDFdh_WA","IDFxh_WA","PPmx_WY","IDFdh_MT","MHmm2","IGFxm_OR","CWHms1","IDFxx_MT","PPxw_WY","IGFmm_OR","JPWwm_CO","IDFxc","CWHwm"
1,"obs","obs",NA,"1961_1990",36,96,510,6,224,574,3,50,23,221,1,548,225,342,1842,68,13,1,40,432,137,27,1351,29,1138,46,36,270,30065,1,788,156,318,2483,37,2,266,2,2756,912,148,65,14,6496,151,9,5760,3011,1828,189,131,1,997,1,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"obs","obs",NA,"2001_2020",37,107,456,73,18,626,17,245,2,30,NA,34,105,64,1162,1,10,NA,138,71,79,NA,NA,NA,768,NA,30,4144,30452,35,95,362,202,4693,22,NA,NA,1,2203,214,609,113,507,9187,329,NA,3334,9,2228,4,502,NA,248,NA,51,1,39,386,2,8,4,11,625,40,1,1,2,1,6,121,18,1,24,11,9,103,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",NA,337,424,7,97,34,NA,2,NA,10,NA,307,34,165,1166,NA,NA,NA,61,52,3,NA,NA,3,809,12,2426,2961,15587,7,3469,2408,3832,17335,1,NA,NA,NA,625,270,49,137,816,1403,73,312,5531,392,437,259,219,17,67,NA,921,NA,NA,23,NA,NA,3,15,NA,176,129,NA,NA,NA,9,705,73,NA,100,24,NA,65,107,22,1,25,5,18,7,6,1,272,13,1,6,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",NA,284,274,34,39,77,NA,74,NA,NA,NA,3,NA,31,402,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,953,6393,5599,273,338,8440,6286,11518,NA,NA,NA,NA,353,25,99,224,845,815,199,275,786,144,288,74,121,2,2,NA,23,174,2,18,NA,735,15,NA,NA,570,3048,87,NA,NA,39,10580,768,NA,304,588,5,6,288,31,4,28,NA,8,NA,NA,16,147,218,1008,NA,11,11,22,17,38,112,5,17,42,8,604,52,36,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",NA,260,280,9,NA,17,6,110,NA,NA,NA,14,1,30,499,NA,NA,NA,69,NA,NA,NA,NA,NA,1,NA,1625,8527,1504,50,197,12099,799,4102,NA,NA,NA,NA,726,40,63,119,1266,275,83,137,593,150,200,81,13,NA,NA,NA,19,1145,25,44,NA,691,1,24,NA,1037,3008,1330,NA,NA,NA,18908,651,24,208,686,84,2,25,123,3,15,8,97,2,10,NA,866,78,761,20,22,8,17,52,3,27,104,NA,326,29,34,NA,86,137,72,2,39,119,3,7,6,120,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",NA,395,289,1,2000,96,6,58,NA,5,NA,160,27,125,763,NA,NA,NA,42,9,NA,NA,NA,3,63,NA,824,1907,13940,134,752,2134,23743,1930,3,NA,NA,NA,481,170,135,221,1280,1145,83,734,2519,834,277,223,221,29,20,8,686,53,NA,8,NA,511,2,6,NA,98,1310,NA,NA,NA,4,2507,370,NA,489,47,NA,166,183,24,NA,1,NA,3,1,1,NA,91,68,144,NA,104,7,4,3,17,61,NA,NA,NA,NA,73,6,2,181,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",NA,189,489,8,58,8,NA,NA,5,209,NA,749,128,170,1487,23,NA,NA,13,136,34,NA,52,10,858,14,3861,573,24002,NA,3504,233,389,9527,11,NA,96,NA,1070,479,NA,97,530,2841,NA,46,9732,992,1319,401,132,NA,53,3,423,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,3,21,NA,NA,NA,NA,NA,NA,2,5,NA,NA,2,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",2,177,341,2,NA,NA,NA,NA,47,282,NA,554,119,124,1297,26,3,2,36,42,10,NA,684,457,288,5,6617,821,14706,NA,9212,460,12,12748,5,NA,8,NA,790,292,6,213,176,1788,NA,55,9050,9,447,577,85,NA,410,4,1282,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,144,NA,NA,15,1,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,6,75,NA,6,393,NA,NA,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,2,NA,NA,NA,32,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",2,294,536,11,211,NA,NA,NA,NA,1,2,660,86,153,1339,37,NA,NA,9,152,22,NA,20,52,1143,26,2292,3895,19467,1,1906,557,3022,14724,8,NA,45,NA,1181,618,5,74,150,1227,5,48,5831,2705,873,281,99,NA,64,5,870,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,3,NA,NA,7,NA,NA,NA,4,6,NA,NA,NA,NA,NA,1,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,248,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",NA,87,478,9,10,35,NA,NA,16,370,NA,792,177,189,1846,33,2,NA,21,118,45,8,14,9,842,NA,3858,720,26153,NA,1601,330,542,4312,21,NA,139,6,1172,451,4,100,1841,4527,NA,2,8937,2508,1827,426,46,NA,1,NA,53,NA,9,1,NA,NA,NA,15,NA,NA,NA,7,85,NA,NA,37,NA,NA,NA,20,53,NA,NA,NA,NA,NA,NA,27,1,NA,NA,38,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
