"index","GCM","SSP","RUN","PERIOD","Pl","Lw","Fd","Ac","At","Py","Ep","Pj","Sb","Sx","Bb","Bl","Bg","Cw","Dr","Hw","Mb","Pw","Ss","Bc","Ps","Yp","Oc","Ba","Bp","Yc","Hm","Act","Sw"
1,"obs","obs",NA,"1961_1990",30787,0,1940,24818,6036,0,1819,0,66,48413,0,17086,0,1692,0,661,0,0,0,0,0,0,0,14,0,0,34,0,0
2,"obs","obs",NA,"2001_2020",26517,15,3727,21359,8157,2,2633,0,314,45006,0,12570,0,983,0,87,0,0,0,8,0,0,0,0,0,0,0,0,0
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",20683,66,14288,30115,16736,0,12552,0,204,51340,0,11477,0,6606,0,3824,0,0,0,9,0,0,0,2,0,0,0,0,0
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",14168,228,13506,25373,19650,0,14540,0,208,39440,0,7717,0,8358,0,730,0,0,0,39,0,0,0,0,0,0,0,0,0
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",10328,440,10951,20682,14217,4,12394,0,20,28641,0,8571,0,11092,0,974,0,0,0,0,0,0,0,1,0,0,0,0,0
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",28334,37,2612,28632,23177,0,4495,0,300,47381,0,7674,0,3538,0,979,0,0,0,4,0,0,0,2,0,0,0,0,0
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",24781,0,7263,29689,9598,0,7107,0,66,50973,0,15968,0,6392,0,4577,0,0,0,0,0,0,0,6,0,0,12,0,0
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",23653,0,9917,31803,13806,109,12432,0,42,53662,0,20539,0,12386,0,10521,0,0,0,108,0,0,0,233,0,0,14,0,0
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",22103,0,11420,29005,12244,0,9070,0,50,50349,0,12661,0,4620,0,2631,0,0,0,0,0,0,0,30,0,0,18,0,0
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",25852,0,3471,28571,8103,64,3339,0,23,49390,0,16482,0,4997,0,3152,0,0,0,64,0,0,0,5,0,0,16,0,0
