"index","GCM","SSP","RUN","PERIOD","Pl","Lw","Fd","Ac","At","Py","Ep","Pj","Sb","Sx","Bb","Bl","Bg","Cw","Dr","Hw","Mb","Pw","Ss","Bc","Ps","Yp","Oc","Ba","Bp","Yc","Hm","Act","Sw"
1,"obs","obs",NA,"1961_1990",60704,54494,59461,3269,56486,2974,12615,0,0,60577,0,21057,0,3359,0,179,0,834,0,0,0,0,0,29,0,0,69,0,0
2,"obs","obs",NA,"2001_2020",57844,52627,59719,3091,57006,9329,4352,0,127,57727,0,23925,0,934,0,31,0,95,0,6,0,0,0,0,0,0,1,0,0
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",42442,36130,60162,4261,58150,23123,14483,0,172,38718,0,13023,0,7039,0,2484,0,3494,0,9,0,0,0,3,0,25,0,0,0
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",31200,23012,49494,6220,41783,27446,8096,0,294,23840,0,16272,0,4952,0,1019,0,376,0,39,0,0,0,0,0,28,0,0,0
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",25519,21734,40173,6883,28551,25915,7978,0,27,22746,0,19208,0,5997,0,1665,0,214,0,0,0,0,0,0,0,15,0,0,0
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",53347,27055,55262,3335,54288,6366,8673,0,349,29508,0,10290,0,3067,0,848,0,772,0,4,0,0,0,3,0,1,0,0,0
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",53528,49628,60550,6168,59151,10453,19628,0,0,53313,0,15101,0,8295,0,3914,0,3524,0,0,0,0,0,10,0,0,23,0,0
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",50447,46995,61679,7389,60468,14837,27810,0,0,50567,0,17268,0,16943,0,7210,0,9301,0,0,0,0,0,457,0,0,28,0,0
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",48215,41835,61202,4396,59375,19253,15244,0,0,45342,0,15448,0,5651,0,2423,0,1947,0,0,0,0,0,52,0,0,37,0,0
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",57277,52838,58714,6748,57937,5639,18047,0,0,56918,0,17764,0,6317,0,3902,0,1603,0,0,0,0,0,9,0,0,33,0,0
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",49161,38711,56319,7520,57084,11472,15699,0,57,41189,0,15290,0,6503,0,5176,0,1271,0,0,0,0,0,81,0,0,5,0,0
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",54909,46912,59599,3777,59907,8007,18004,0,217,51464,0,12843,0,3511,0,1385,0,1640,0,0,0,0,0,23,0,0,1,0,0
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",41077,34151,39361,4150,52338,585,9144,0,96,37141,0,11970,0,493,0,491,0,2,0,0,0,0,0,2,0,0,0,0,0
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",41674,29322,51184,5459,53194,13579,10892,0,23,30997,0,11745,0,4462,0,3303,0,400,0,0,0,0,0,51,0,0,1,0,0
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",50169,44369,60670,3411,58734,16350,13415,0,44,48198,0,15879,0,4214,0,1173,0,2099,0,5,0,0,0,1,0,51,4,0,0
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",56251,49943,60564,2240,59815,6881,16557,0,13,54609,0,13561,0,3227,0,622,0,1708,0,21,0,0,0,31,0,0,10,0,0
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",47259,42050,59603,4504,57192,22746,9829,0,310,45499,0,19816,0,4621,0,1508,0,1784,0,32,0,0,0,0,0,18,4,0,0
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",45047,41020,60511,4759,58098,23050,13209,0,33,43938,0,16803,0,6733,0,2743,0,3281,0,2,0,0,0,8,0,248,0,0,0
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",57029,48981,56785,5799,60304,5252,24962,0,83,55252,2,12270,0,7303,0,2814,0,3725,0,2,0,0,0,237,0,0,28,0,0
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",57146,43291,47447,13713,58505,2957,30705,0,3834,56042,2357,11773,0,7284,0,3769,0,3888,0,45,0,0,0,398,0,0,12,0,0
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",59255,48632,52280,10415,60183,3008,23206,0,259,58881,0,15677,0,8738,0,4196,0,1773,0,335,0,0,0,1012,0,0,131,0,0
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",54588,47295,60671,4237,59055,10558,16743,0,2,51664,0,13744,0,5376,0,1616,0,2413,0,0,0,0,0,40,0,0,54,0,0
23,"MIROC6","ssp245","ensembleMean","2001_2020",42817,38672,61629,4890,59279,23888,17755,0,0,41854,0,14586,0,9129,0,3624,0,4798,0,0,0,0,0,57,0,0,12,0,0
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",45817,40466,61093,5423,59277,20699,17377,0,0,43599,0,14465,0,7248,0,3885,0,2926,0,0,0,0,0,91,0,0,19,0,0
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",46770,39942,60550,2519,59127,18267,18166,0,40,44031,0,12794,0,7698,0,1950,0,5063,0,339,0,0,0,116,0,0,33,0,0
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",36976,33528,61273,6355,58610,29633,15826,0,0,35588,0,14333,0,9745,0,5529,0,4081,0,0,0,0,0,52,0,101,0,0,0
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",48546,41242,60784,3129,58804,24391,10413,0,157,44233,0,18695,0,4134,0,1372,0,1764,0,0,0,0,0,21,0,0,56,0,0
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",50159,39462,60336,1811,59080,12938,16433,0,21,43422,0,11056,0,4269,0,857,0,2735,0,13,0,0,0,48,0,0,6,0,0
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",52740,47072,61344,3819,52921,45755,3782,0,57,49552,0,41831,0,3690,2,1647,0,1218,0,0,0,0,0,3,0,30,280,0,0
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",54103,48008,59877,11779,60037,10105,28746,0,3,50309,0,16840,0,12718,0,8437,0,3660,0,8,0,0,0,60,0,0,17,0,0
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",54103,48008,59877,11779,60037,10105,28746,0,3,50309,0,16840,0,12718,0,8437,0,3660,0,8,0,0,0,60,0,0,17,0,0
32,"ensembleMean","ssp245","ensembleMean","2001_2020",48823,42037,60880,5668,59778,15479,17935,0,5,45149,0,13520,0,7972,0,3803,0,3348,0,0,0,0,0,25,0,0,11,0,0
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",27093,24485,56114,6104,36710,34894,17317,0,0,23461,0,11723,0,14782,0,4395,0,8841,0,93,0,0,0,0,0,149,0,0,0
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",31323,27898,61344,6838,42957,36756,18740,0,0,27387,0,12146,0,15045,0,6044,0,10624,0,16,0,0,0,9,0,18,0,0,0
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",31451,17744,48985,5562,32518,21800,12608,0,1,17342,0,10458,0,8504,3,3475,0,4477,0,0,0,0,0,6,0,19,3,0,0
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",22774,19954,48381,5475,35322,29445,15653,0,2,18239,0,9239,0,12381,0,2820,0,7186,0,188,0,0,0,1,0,93,0,0,0
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",36753,34635,57513,11403,53154,34193,16441,0,0,34184,0,18782,0,14146,0,8094,0,1957,0,118,0,0,0,1,0,89,0,0,0
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",27064,25524,55828,9665,51697,36718,12985,0,3,24927,0,18710,0,11443,0,4805,0,1633,0,1363,0,0,0,0,0,246,1,0,0
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",40162,35620,61073,6107,58223,30599,14116,0,15,36749,0,15019,0,9054,1,5115,0,3558,0,0,0,0,0,14,0,1,1,0,0
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",36449,30489,55739,9713,47118,35807,12284,0,0,29948,0,23004,0,11484,0,1150,0,108,0,436,0,0,0,0,0,133,19,0,0
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",43782,35802,56481,13009,51622,22906,21742,0,0,35876,0,18986,0,10902,0,8149,0,3212,0,0,0,0,0,317,0,0,0,0,0
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",40793,38991,61817,13101,60528,26101,28515,0,0,40456,0,18942,0,22878,0,10986,0,10760,0,125,0,0,0,4,0,204,0,0,0
