"index","GCM","SSP","RUN","PERIOD","BAFA","BG","BWBS","CMA","CWH","ESSF","ICH","IDF","IMA","MH","MS","PP","SBAP","SBPS","SBS","SWB"
1,"obs","obs",NA,"1961_1990",2815,937,6,323,163,11847,3382,13180,1187,169,8714,5,1,17861,5184,1
2,"obs","obs",NA,"2001_2020",1961,559,NA,242,122,10154,2772,12471,680,128,5308,1,1,12101,3199,NA
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",742,742,NA,202,88,7399,2910,11639,154,88,2561,NA,NA,1199,1608,NA
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",489,462,NA,89,42,6849,2234,7099,131,32,2816,NA,NA,52,47,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",495,412,NA,173,78,7977,2555,10363,112,49,3775,NA,NA,37,342,NA
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",670,724,NA,88,36,6410,2424,10734,142,36,1117,NA,NA,1083,774,NA
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",1565,752,3,253,139,9459,3240,11945,652,133,3606,NA,NA,6626,3079,NA
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",1282,473,3,264,153,8840,3274,12594,502,124,3245,1,NA,2767,444,NA
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",1068,878,2,245,116,8575,3073,11729,436,114,2649,NA,NA,3531,2826,NA
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",1614,384,4,279,143,10156,3220,11186,702,137,3590,NA,NA,8316,2269,NA
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",947,570,3,234,135,8795,2992,11425,398,105,2202,NA,1,3076,3623,NA
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",1208,750,2,196,122,8688,2948,11688,363,117,2516,1,1,5212,4359,NA
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",1391,183,3,90,98,8973,2261,4494,541,97,2483,NA,1,5053,3237,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",620,614,3,225,112,8646,2390,11316,276,91,2577,NA,1,606,3215,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",1553,847,NA,256,137,8844,3042,12231,533,143,3547,NA,1,7787,3766,NA
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",2097,911,2,214,112,9345,2859,11930,649,112,4546,NA,1,11684,4617,NA
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",1349,678,NA,234,109,8629,2967,12230,336,136,2764,NA,NA,5768,2903,NA
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",1327,733,3,268,138,8620,2961,11933,494,126,2952,NA,NA,4729,3203,NA
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",1740,859,2,199,127,9223,3322,11021,562,133,3417,NA,NA,9170,3127,NA
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",2084,614,4,197,119,9643,3160,9610,494,137,3618,2,NA,9363,3341,NA
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",2261,792,4,164,106,9479,3090,9821,563,126,4491,NA,NA,9795,2416,NA
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",1417,871,1,243,129,9200,3203,12101,545,135,3768,NA,NA,8526,3597,NA
23,"MIROC6","ssp245","ensembleMean","2001_2020",1330,807,NA,219,135,8090,3077,11582,363,127,2875,NA,NA,3182,3273,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",1351,779,NA,248,118,8620,3030,11875,404,124,2974,NA,NA,3882,3737,NA
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",1599,884,1,152,128,7693,3161,11529,247,108,2294,NA,NA,4987,2195,NA
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",1227,540,NA,228,131,8356,2953,12041,384,119,3644,NA,NA,1525,2663,NA
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",1022,798,NA,229,102,8201,2826,11997,300,120,2665,NA,NA,3849,1808,NA
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",1327,900,NA,187,104,8363,3133,11836,337,118,2630,NA,NA,7053,4027,NA
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",987,501,NA,240,99,8431,2848,12635,250,106,2348,NA,NA,1753,110,NA
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",1028,367,3,263,152,9120,3180,11484,453,112,2671,1,NA,2315,3067,NA
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",1028,367,3,263,152,9120,3180,11484,453,112,2671,1,NA,2315,3067,NA
32,"ensembleMean","ssp245","ensembleMean","2001_2020",1186,842,3,243,132,8569,3185,11888,412,124,3089,NA,NA,4431,3661,NA
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",200,497,NA,119,75,5902,2884,10522,37,9,4018,NA,NA,NA,94,NA
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",135,648,NA,147,68,5514,3075,10471,31,6,4236,NA,NA,NA,26,NA
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",185,569,NA,112,54,5541,2699,9776,48,4,4071,NA,NA,NA,265,NA
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",353,499,NA,98,112,5658,2817,10690,39,10,3419,NA,NA,NA,590,NA
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",623,318,3,248,146,7852,3016,11272,184,77,3203,NA,1,450,920,NA
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",563,289,NA,211,116,7863,2725,9234,143,77,4124,NA,NA,40,57,NA
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",857,648,3,215,122,7909,3189,11961,204,75,2978,NA,NA,352,2985,NA
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",839,184,3,263,154,8090,2443,10729,300,98,3449,NA,1,519,24,NA
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",394,262,3,203,142,7758,2888,9566,161,42,3309,1,1,497,2580,NA
