"index","GCM","SSP","RUN","PERIOD","BAFA","BG","BWBS","CMA","CWH","ESSF","ICH","IDF","IMA","MH","MS","PP","SBAP","SBPS","SBS","SWB","IWF","MGP","GO","JPW","FG","CDF","IGF","SGP","GBD"
1,"obs","obs",NA,"1961_1990",2815,937,6,323,163,11847,3382,13180,1187,169,8714,5,1,17861,5184,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"obs","obs",NA,"2001_2020",2174,709,NA,317,180,11641,3602,19169,955,169,6686,14,244,15219,4239,NA,2,455,NA,NA,NA,NA,NA,NA,NA
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",752,1846,5,312,311,10538,5558,30203,533,359,5778,31,25,5741,3001,5,NA,764,12,1,NA,NA,NA,NA,NA
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",554,8181,NA,149,185,11701,4913,21454,784,152,7797,70,87,2397,589,NA,NA,6421,35,306,NA,NA,NA,NA,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",501,1329,6,307,301,11479,5865,29906,384,291,6826,63,55,2143,1188,1,NA,5011,12,107,NA,NA,NA,NA,NA
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",720,3011,12,135,127,9902,4640,30837,374,142,4878,37,55,6391,2214,NA,NA,2210,2,88,NA,NA,NA,NA,NA
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",1663,1069,29,573,313,12118,5996,20450,956,478,6718,10,NA,9878,5488,4,6,26,NA,NA,NA,NA,NA,NA,NA
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",1451,741,15,883,374,11776,8992,25526,823,660,5935,34,NA,5879,2675,3,7,1,NA,NA,NA,NA,NA,NA,NA
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",1079,2229,20,436,279,11603,5131,25061,801,338,6377,11,19,8180,4136,13,NA,62,NA,NA,NA,NA,NA,NA,NA
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",1748,543,56,774,310,13348,6434,17665,955,402,7261,12,3,11237,4986,10,6,24,NA,NA,1,NA,NA,NA,NA
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",1014,783,78,498,385,13014,5399,24227,853,426,5529,25,228,6623,5910,6,NA,756,21,NA,NA,NA,NA,NA,NA
