"index","GCM","SSP","RUN","PERIOD","BAFA","BG","ESSF","ICH","IDF","IMA","MS","PP","SBAP","SBPS","SBS"
1,"obs","obs",NA,"1961_1990",36,836,4547,2600,34081,39,4084,65,14,6647,12106
2,"obs","obs",NA,"2001_2020",23,545,3017,735,33638,12,2237,27,NA,4517,2779
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",NA,649,1848,1730,33527,NA,537,1,NA,648,4189
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",NA,444,1521,1728,29054,NA,264,NA,NA,23,607
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",NA,517,1701,1989,22934,NA,668,8,NA,NA,409
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",NA,603,1843,828,29751,NA,407,8,NA,364,2070
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",NA,584,2893,2328,33605,3,1154,11,NA,1716,7750
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",2,422,2472,2559,33115,1,738,20,NA,629,5113
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",2,721,2408,2066,33734,2,1213,3,NA,691,6284
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",NA,472,3572,2182,32007,5,1390,10,1,2386,8533
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",NA,544,2319,2278,31095,NA,722,10,1,705,6086
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",NA,600,2590,1489,33586,4,735,23,NA,1284,8801
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",NA,509,3140,397,25078,5,1487,25,14,138,2781
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",NA,592,1999,1515,29994,NA,555,6,1,270,3678
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",1,696,2337,1481,33775,3,1015,13,NA,2142,6236
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",16,746,2765,1248,33637,5,1379,31,NA,2255,8756
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",3,576,2171,1647,33456,3,995,7,NA,1599,3831
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",1,624,2470,1889,33594,2,968,4,NA,1105,4376
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",2,758,3114,2080,31994,4,995,18,1,265,7059
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",3,566,3594,2164,26359,4,2045,7,NA,54,4851
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",8,681,3458,1999,32198,7,1918,10,NA,89,3228
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",NA,718,2807,1942,33828,5,1346,9,NA,644,7393
23,"MIROC6","ssp245","ensembleMean","2001_2020",1,688,2123,2327,33663,NA,957,3,NA,808,5301
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",1,660,2326,2283,33725,2,1146,5,NA,291,6325
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",4,758,2059,1969,32195,1,669,4,NA,431,6298
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",7,592,1887,2106,33597,NA,1027,4,NA,317,3439
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",1,673,2339,1336,33065,1,1005,1,NA,1128,4082
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",3,768,2179,1165,32402,2,761,10,NA,946,6835
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",NA,581,3535,1663,33717,1,1625,6,NA,136,704
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",NA,293,2612,2538,30524,NA,551,28,NA,33,5932
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",NA,293,2612,2538,30524,NA,551,28,NA,33,5932
32,"ensembleMean","ssp245","ensembleMean","2001_2020",NA,683,2354,2319,33738,NA,815,9,NA,970,6273
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",NA,468,1100,1471,31951,NA,66,4,NA,NA,927
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",NA,623,996,1779,33071,NA,33,3,NA,NA,1988
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",NA,597,958,1514,28224,NA,11,5,NA,NA,1775
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",NA,357,849,1086,28412,NA,138,3,NA,NA,799
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",NA,441,1827,2416,30915,NA,639,4,NA,133,1274
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",NA,414,1723,2346,29618,NA,907,3,NA,NA,141
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",NA,611,1837,2077,33543,NA,446,2,NA,152,3391
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",NA,282,2179,2009,29666,NA,1403,10,NA,14,10
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",NA,270,1722,2140,29471,NA,332,30,NA,23,5715
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",NA,307,2017,2508,33555,NA,455,17,NA,134,2265
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",NA,124,1471,1932,31049,NA,114,48,7,NA,4748
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",NA,245,1746,1026,19454,NA,1302,55,NA,1,278
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",NA,513,1835,2378,33354,NA,494,4,NA,161,1499
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",1,525,1880,2357,31616,NA,617,5,NA,139,872
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",NA,600,1779,2282,33639,NA,161,4,NA,119,3293
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",NA,282,1959,2514,32646,NA,793,11,NA,18,197
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",NA,280,1810,2566,31850,NA,202,33,NA,NA,3492
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",NA,463,1519,2495,32758,NA,84,7,NA,NA,5095
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",NA,166,2090,2387,25200,NA,213,50,5,NA,3557
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",NA,446,1848,2576,32746,NA,250,37,NA,NA,3510
53,"MIROC6","ssp245","ensembleMean","2021_2040",NA,349,1706,2251,31545,NA,337,14,NA,4,6994
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",NA,289,2059,2542,31046,NA,370,44,NA,NA,4610
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",NA,366,1544,2367,31398,NA,349,21,NA,2,3688
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",NA,357,1887,2198,30931,NA,584,22,NA,2,3469
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",NA,645,1636,1772,32368,NA,125,4,NA,43,4079
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",NA,661,1574,603,28032,NA,167,1,NA,NA,974
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",NA,453,2031,2460,33233,NA,245,19,NA,6,5759
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",NA,137,1421,2265,16321,NA,83,51,NA,NA,5253
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",NA,137,1421,2265,16321,NA,83,51,NA,NA,5253
62,"ensembleMean","ssp245","ensembleMean","2021_2040",NA,468,1632,2321,32337,NA,215,6,NA,4,3872
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",NA,162,304,2199,28178,NA,204,NA,NA,NA,15
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",NA,209,320,2580,31671,NA,NA,NA,NA,NA,292
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",NA,187,219,2284,31490,NA,186,NA,NA,NA,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",NA,307,298,2504,30634,1,146,NA,NA,NA,NA
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",NA,361,1212,1476,26741,NA,348,23,NA,NA,252
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",NA,329,1374,1297,19116,NA,1962,41,NA,NA,2
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",NA,540,1343,1930,28844,NA,208,5,NA,1,2527
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",NA,188,1312,2201,28065,NA,101,25,NA,NA,1442
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",NA,321,1020,1800,26953,NA,289,60,NA,NA,45
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",NA,296,1416,1540,29181,NA,234,44,NA,NA,599
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",NA,308,934,2320,28277,NA,927,58,NA,NA,NA
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",NA,366,834,2103,32072,NA,17,24,3,NA,1684
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",NA,221,1541,2484,28848,NA,435,56,NA,NA,235
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",NA,284,1509,2251,30393,NA,455,53,NA,NA,432
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",NA,187,1623,2485,27891,NA,645,47,NA,4,578
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",NA,210,1446,2599,25363,NA,332,60,NA,NA,9
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",NA,104,1228,2581,24345,NA,3,35,NA,NA,4139
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",NA,130,1220,1852,23835,NA,57,63,NA,NA,1057
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",NA,126,1255,2568,25378,NA,2,13,NA,NA,7323
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",NA,26,1244,2583,19047,NA,3,58,3,NA,3719
83,"MIROC6","ssp245","ensembleMean","2041_2060",NA,140,1199,2534,25010,NA,140,56,NA,NA,397
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",NA,62,1169,1917,25364,NA,84,65,3,NA,1500
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",NA,257,1006,2568,29248,NA,177,52,NA,NA,232
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",NA,152,1440,2594,21658,NA,119,46,NA,2,814
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",NA,289,1386,2513,33605,NA,101,9,NA,NA,1638
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",NA,233,1131,2327,30095,NA,34,3,NA,NA,645
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",NA,263,1605,2504,31334,NA,440,26,NA,NA,1542
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",NA,NA,1111,2597,2927,NA,NA,40,NA,NA,552
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",NA,NA,1111,2597,2927,NA,NA,40,NA,NA,552
92,"ensembleMean","ssp245","ensembleMean","2041_2060",NA,283,1210,2565,29490,NA,78,36,NA,NA,1279
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",NA,158,179,2523,17217,NA,62,NA,NA,NA,NA
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",NA,326,137,2582,27161,NA,9,2,NA,NA,12
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",NA,79,150,2599,25398,NA,25,3,NA,NA,8
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",NA,173,210,1669,27566,NA,161,NA,NA,NA,NA
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",NA,181,925,2557,21446,NA,127,62,NA,NA,28
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",NA,183,888,2244,20942,NA,209,61,NA,NA,9
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",NA,320,1015,655,26225,1,1205,40,NA,NA,NA
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",NA,89,834,2489,15388,NA,41,65,NA,NA,10
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",NA,164,561,2572,15389,NA,5,65,NA,NA,2
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",NA,145,627,2598,12994,NA,2,65,NA,NA,NA
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",NA,120,571,2579,15239,NA,7,65,NA,NA,4
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",NA,146,757,2339,10066,NA,14,65,NA,NA,1
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",NA,225,1057,2549,26813,NA,98,55,NA,NA,92
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",NA,433,1168,1912,30922,NA,516,42,NA,NA,NA
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",NA,336,1023,2565,30258,NA,98,36,NA,NA,356
108,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",NA,45,779,2052,14290,NA,6,55,NA,NA,36
109,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",NA,14,812,2179,15031,NA,11,62,NA,NA,123
110,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",NA,124,995,850,17471,NA,432,44,NA,NA,NA
111,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",NA,NA,940,2600,22378,NA,8,18,NA,NA,49
112,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",NA,143,743,1407,10454,NA,112,65,NA,NA,NA
113,"MIROC6","ssp245","ensembleMean","2061_2080",NA,268,990,2600,29732,NA,38,42,NA,NA,94
114,"MIROC6","ssp245","r1i1p1f1","2061_2080",NA,134,995,2600,26667,NA,50,44,NA,NA,28
115,"MIROC6","ssp245","r2i1p1f1","2061_2080",NA,366,898,2591,31452,NA,29,17,NA,NA,219
116,"MIROC6","ssp245","r3i1p1f1","2061_2080",NA,322,909,2542,29551,NA,54,51,NA,NA,156
117,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",NA,150,1077,2599,30773,NA,80,30,NA,NA,130
118,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",NA,364,1055,2585,33458,NA,83,19,NA,NA,132
119,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",NA,34,1153,2594,24779,NA,32,28,NA,NA,285
120,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",NA,NA,567,2590,1684,NA,NA,43,NA,NA,5
121,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",NA,NA,567,2590,1684,NA,NA,43,NA,NA,5
122,"ensembleMean","ssp245","ensembleMean","2061_2080",NA,154,796,2579,21310,NA,28,59,NA,NA,27
123,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",NA,212,64,1591,25445,NA,9,NA,NA,NA,NA
124,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",NA,164,78,1828,17913,NA,9,NA,NA,NA,NA
125,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",NA,233,31,1875,30048,NA,9,NA,NA,NA,NA
126,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",NA,218,41,2502,18249,NA,13,NA,NA,NA,NA
127,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",NA,292,673,2226,20522,NA,41,46,NA,NA,NA
128,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",NA,335,495,2585,24151,NA,71,33,NA,NA,NA
129,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",NA,324,582,2208,20218,NA,7,50,NA,NA,NA
130,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",NA,185,734,1434,18531,NA,72,49,NA,NA,NA
131,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,277,366,2600,23250,NA,4,54,NA,NA,NA
132,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,243,347,2600,21790,NA,3,61,NA,NA,NA
133,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",NA,356,438,2433,27847,NA,9,33,NA,NA,NA
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,348,274,2538,15317,NA,23,5,NA,NA,NA
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",NA,180,779,2595,15008,NA,13,63,NA,NA,NA
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",NA,159,714,2541,13322,NA,3,61,NA,NA,6
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",NA,292,845,2600,23442,NA,67,56,NA,NA,NA
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",NA,135,773,2448,9733,NA,80,60,NA,NA,5
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",NA,NA,713,2509,19169,NA,1,48,NA,NA,59
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,20,388,2433,15876,NA,NA,55,NA,NA,51
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",NA,NA,605,2595,16849,NA,NA,49,NA,NA,51
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",NA,NA,731,2519,17695,NA,NA,42,NA,NA,26
143,"MIROC6","ssp245","ensembleMean","2081_2100",NA,221,442,2600,26102,NA,3,23,NA,NA,1
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",NA,71,204,2600,32174,NA,1,NA,NA,NA,31
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",NA,241,584,2600,23607,NA,4,55,NA,NA,NA
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",NA,251,441,2600,23556,NA,4,40,NA,NA,NA
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",NA,195,979,2592,33069,NA,NA,10,NA,NA,2779
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",NA,250,851,2498,29730,NA,NA,3,NA,NA,4598
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",NA,110,827,2581,31897,NA,1,46,NA,NA,3228
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",NA,167,531,2600,2827,NA,NA,57,NA,NA,6
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",NA,167,531,2600,2827,NA,NA,57,NA,NA,6
152,"ensembleMean","ssp245","ensembleMean","2081_2100",NA,172,487,2600,22013,NA,5,41,NA,NA,10
