"index","GCM","SSP","RUN","PERIOD","BAFAun","BGxh2","BGxh3","BGxw1","BGxw2","ESSFdk2","ESSFdkp","ESSFdkw","ESSFmc","ESSFmv1","ESSFwc2","ESSFwc3","ESSFwcp","ESSFwcw","ESSFwk1","ESSFwv","ESSFwvp","ESSFwvw","ESSFxc2","ESSFxc3","ESSFxcp","ESSFxv1","ICHdk","ICHmc1","ICHmk3","ICHmw3","ICHwk2","IDFdk1","IDFdk3","IDFdk4","IDFmw2","IDFxh2","IDFxm","IDFxw","IMAun","IMAun_CO","MSabN","MSdc2","MSxk2","MSxk3","MSxv","PPxh2","SBAPfp","SBPSmk","SBPSxc","SBSdk","SBSdw1","SBSdw2","SBSmc1","SBSmc2","SBSmc3","SBSmk1","SBSmm","SBSmw","SBSwk1"
1,"obs","obs",NA,"1961_1990",36,96,510,6,224,574,3,50,23,221,1,548,225,342,1842,68,13,1,40,432,137,27,1351,29,1138,46,36,270,30065,1,788,156,318,2483,37,2,266,2,2756,912,148,65,14,6496,151,9,5760,3011,1828,189,131,1,997,1,179
2,"obs","obs",NA,"2001_2020",23,66,385,4,1,342,3,47,NA,13,NA,27,93,27,957,NA,NA,NA,8,38,60,NA,NA,NA,668,NA,NA,225,24122,NA,60,97,77,2253,12,NA,NA,NA,1727,157,42,27,NA,4434,16,NA,1264,1,645,2,67,NA,106,NA,23
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",NA,84,256,NA,17,3,NA,NA,NA,NA,NA,NA,NA,12,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,1,36,60,7955,NA,62,59,30,2012,NA,NA,NA,NA,45,NA,3,1,NA,645,NA,2,1652,NA,NA,1,NA,NA,NA,NA,24
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",NA,22,107,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,51,NA,2,12,14,413,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,184,NA,NA,NA,NA,NA,NA,NA,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",NA,33,113,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,7,33,NA,NA,21,5,544,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",NA,60,158,NA,17,18,NA,6,NA,NA,NA,NA,1,6,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,32,31,2695,NA,1,45,66,426,NA,NA,NA,NA,22,NA,3,8,NA,364,NA,NA,869,NA,NA,1,NA,NA,NA,NA,12
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",NA,84,331,NA,44,NA,NA,NA,NA,46,NA,137,65,5,782,8,NA,NA,NA,44,15,NA,NA,NA,77,NA,36,146,21231,NA,773,90,53,2290,3,NA,NA,NA,416,156,NA,11,NA,1711,NA,NA,3251,553,682,83,17,NA,45,NA,28
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",2,65,229,NA,NA,NA,NA,NA,NA,26,NA,17,55,NA,394,7,NA,NA,NA,11,NA,NA,NA,12,NA,NA,36,122,12464,NA,786,116,3,2198,1,NA,NA,NA,167,43,NA,19,NA,622,NA,1,1482,NA,223,44,3,NA,161,NA,22
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",2,93,311,NA,69,NA,NA,NA,NA,NA,NA,62,25,NA,509,15,NA,NA,NA,26,4,NA,NA,12,173,NA,36,98,11764,NA,197,58,26,2235,2,NA,NA,NA,403,113,NA,3,NA,691,NA,1,2743,1011,300,34,4,NA,11,NA,16
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",NA,58,349,NA,8,21,NA,NA,NA,103,NA,201,122,59,1258,12,NA,NA,NA,82,31,5,NA,NA,1,NA,36,231,25089,NA,644,112,21,2054,5,NA,44,NA,560,237,NA,10,1,2313,NA,NA,3983,1414,945,136,4,NA,NA,NA,10
