"index","GCM","SSP","RUN","PERIOD","BAFA","BG","ESSF","ICH","IDF","IMA","MS","PP","SBAP","SBPS","SBS","IWF","MGP","JPW","BWBS","FG","SWB","CWH","GO","MH","SGP","GBD","IGF"
1,"obs","obs",NA,"1961_1990",36,836,4547,2600,34081,39,4084,65,14,6647,12106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"obs","obs",NA,"2001_2020",37,655,3659,839,39986,23,3063,122,507,9643,6376,6,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",NA,887,1924,3568,45872,1,1075,137,816,1648,8327,9,778,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",NA,869,1595,4576,39820,NA,2377,229,845,1308,1726,39,11417,254,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",NA,1842,1808,5789,30037,NA,2650,203,1266,385,1215,NA,19696,164,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",NA,2773,1937,2301,44710,3,1466,221,1280,1577,5655,4,3058,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",NA,744,2972,4801,38230,11,1648,118,530,2841,13132,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",2,520,2556,8188,38504,5,1114,263,176,1788,11923,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",2,1059,2480,3797,43572,8,1865,77,150,1232,10813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",NA,584,3704,4725,33789,21,1792,153,1841,4527,13882,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",NA,708,2427,5362,37670,4,1281,187,2521,1780,10240,NA,2875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",NA,753,2663,1945,38284,10,1295,155,1224,2655,15928,NA,140,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",NA,580,3500,493,26505,17,3155,146,14711,1111,6793,NA,8035,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",NA,938,2093,4133,37782,NA,1167,175,3487,946,7032,NA,7301,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",1,829,2404,2123,42701,12,1676,151,605,3271,11257,5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",16,954,2825,1562,38477,9,1797,116,777,2839,15635,21,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",3,682,2332,2853,44906,11,2254,189,774,3190,7119,32,678,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",1,787,2570,3448,44607,9,2204,170,823,1989,8121,2,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",2,1204,3225,3852,35306,10,2924,87,1237,733,16427,2,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",3,787,3733,3807,27936,12,5501,118,2084,95,15422,45,NA,NA,3758,1740,14,NA,NA,NA,NA,NA,NA
