"index","GCM","SSP","RUN","PERIOD","Pl","Lw","Fd","Ac","At","Py","Ep","Pj","Sb","Sx","Bb","Bl","Bg","Cw","Dr","Hw","Mb","Pw","Ss","Bc","Ps","Yp","Oc","Ba","Bp","Yc","Hm","Act","Sw"
1,"obs","obs",NA,"1961_1990",21296,386,11631,0,8314,443,33,0,4,10893,0,6289,0,727,0,76,0,516,0,0,0,0,0,0,0,0,52,0,0
2,"obs","obs",NA,"2001_2020",14815,132,6239,0,5246,50,0,0,0,7644,0,3943,0,2,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",9028,33,4173,0,2223,32,3,0,1,2749,0,3244,0,495,0,29,0,40,0,0,0,0,0,0,0,0,0,0,0
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",7769,4,4123,0,1413,1,8,0,0,1666,0,1636,0,347,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",8412,24,5704,0,1443,6,9,0,0,1380,0,1888,0,464,0,17,0,3,0,0,0,0,0,0,0,0,0,0,0
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",7584,16,3087,0,1338,6,4,0,0,2249,0,2087,0,151,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",12375,95,5473,0,3515,395,0,0,0,4267,0,4781,0,624,0,37,0,483,0,0,0,0,0,0,0,0,6,0,0
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",12557,68,5875,0,3187,408,0,0,0,3136,0,4802,0,876,0,48,0,492,0,0,0,0,0,0,0,0,5,0,0
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",11360,63,5578,0,3151,101,4,0,0,3515,0,4164,0,430,0,52,0,123,0,0,0,0,0,0,0,0,11,0,0
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",14841,156,6519,0,4325,362,0,0,0,5341,0,5288,0,537,0,36,0,402,0,0,0,0,0,0,0,0,9,0,0
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",9563,54,4038,0,2331,132,3,0,0,2409,0,4113,0,718,0,34,0,156,0,0,0,0,0,0,0,0,2,0,0
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",12608,50,5232,0,3479,367,6,0,2,4215,0,4159,0,191,0,33,0,438,0,0,0,0,0,0,0,0,0,0,0
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",7403,38,1895,0,1166,19,3,0,1,1991,0,2382,0,103,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
