ORG_UNIT,xmin,xmax,ymin,ymax
DPC,-124.217218732013,-120.001288119012,54.103012448007,58.5807409554353
DCS,-123.732093149923,-119.904922074235,49.0000954926439,51.2803726115859
DCC,-125.773883104956,-120.139453985168,50.875919164285,52.994058328014
DSC,-125.338899910179,-123.250109939663,49.2270455674892,51.3271584031034
DOS,-120.457290433419,-118.141468582049,48.9994527908341,51.6991956719862
DVA,-128.789538925854,-123.174256223973,52.9163128503025,57.294222238934
DQU,-125.584741194331,-120.530540641867,52.3749025523993,53.4762324926841
DCK,-123.534299597324,-120.810770940687,48.9973023878693,50.1486442236463
DFN,-128.925764432518,-120.001288119012,57.4556625974142,60.0047792237624
DPG,-124.097900850561,-118.194321537372,52.1491474477288,55.2098139251732
DKA,-121.73972119348,-118.787707059256,50.3110317613156,52.8769129846511
DSE,-119.301286597504,-115.725387060272,48.9988093878923,52.4971931049101
DND,-128.066842492479,-124.868767924792,52.9680248957775,55.5206331644384
DMK,-127.738504417391,-122.247781716752,54.8664169997914,58.6707258358063
DNI,-129.84801968682,-125.202353925231,49.8940577013949,53.3051984179944
DSI,-126.683365015439,-123.00893380625,48.22483456757,49.7211546271727
DSS,-139.061305880891,-126.384791955806,54.4267521939959,60.001927821334
DKM,-131.692643731095,-127.215080014889,51.950101029784,57.1862160153828
DQC,-133.226027999343,-129.703382910301,51.22941025356,54.6980555072697
DSQ,-124.010064208809,-122.040236925774,49.4105095972366,50.8412067910719
DCR,-127.914648387693,-124.736726015463,49.4688815070312,50.9628982091946
DMH,-122.289805238676,-120.225556656784,50.954395433187,52.1916912988597
DRM,-117.334304567775,-114.054148536906,48.9988649254023,51.2867954034193
