classification,colour
PP,#ea7200
MH,#6f2997
SBS,#2f7bd2
ESSF,#ae38b8
CWH,#488612
BWBS,#4f54cf
CWF,#7577e7
IGF,#77a2eb
CMX,#71d29e
BG,#dd1320
IDF,#e5d521
MS,#e44ebc
SWB,#a1dbde
CRF,#af3a13
WJP,#73330e
ICH,#1fec26
CDF,#edf418
JPW,#96b3a5
CMA,#eae1ee
SBPS,#6edde9
IMA,#e3f1fa
GBD,#4d433f
OW,#582511
BAFA,#eee4f1
MMM,#FF00FF
MHRF,#2612dc
MGP,#f0aeab
FG,#92696c
SGP,#cca261
GO,#f0a325
SBAP,#51d5a7
IWF,#d44273
BSJP,#424160
MSSD,#dac370
MDCH,#2d0cd4
CVG,#c9edd3
SAS,#92b1b6
CCH,#7e22ca
