ORG_UNIT,xmin,xmax,ymin,ymax
TFL 37,-127.175209585242,-126.218462253763,49.9475407581577,50.5811882908758
Mackenzie,-127.738637365656,-122.247602142213,54.8668402200216,58.670753891267
Bulkley-Morice,-128.13686887764,-125.62704779117,53.3813633341582,56.0061805854336
Lakes Resiliency Project,-126.504171229443,-124.868766373315,53.2494441610343,54.975538730123
Quesnel,-125.584640533819,-120.530332627777,52.3748799579714,53.4762324936846
Williams Lake,-125.773883109651,-120.139462591633,50.875934892236,52.9940589387056
100 Mile House,-122.289805257242,-120.226649283282,50.9543954562496,52.1916722249043
Sunshine Coast,-125.338899917397,-123.25010993977,49.2270455658156,51.327158403144
East Central Vancouver Island,-126.694802611731,-124.859815540181,49.4688815070312,50.5155465325196
West Central Vancouver Island,-127.868486771317,-125.90567743358,49.5516463287939,50.3408566120084
