ID1,SiteNo,Spp,FuturePeriod,SS_NoSpace,Curr,NewSuit,1,2,3,X
IDFdk3_1,4812311,Ac,2055,IDFxm/01,4,4,0,0,0.03,0.97
IDFdk3_1,4812311,Ac,2085,IDFxm/01,4,4,0,0,0.01,0.99
IDFdk3_1,4812311,At,1975,IDFxm/01,1,1,1,0,0,0
IDFdk3_1,4812311,At,2000,IDFxm/01,1,4,0,0,0.54,0.46
IDFdk3_1,4812311,At,2025,IDFxm/01,1,4,0,0.14,0.53,0.33
IDFdk3_1,4812311,At,2055,IDFxm/01,1,3,0,0.35,0.44,0.21
IDFdk3_1,4812311,At,2085,IDFxm/01,1,4,0,0.19,0.26,0.54
IDFdk3_1,4812311,Bg,2055,IDFxm/01,4,4,0,0.06,0.06,0.88
IDFdk3_1,4812311,Bg,2085,IDFxm/01,4,4,0,0.06,0.06,0.88
IDFdk3_1,4812311,Bl,2055,IDFxm/01,4,4,0,0,0.03,0.97
IDFdk3_1,4812311,Bl,2085,IDFxm/01,4,4,0,0,0.01,0.99
IDFdk3_1,4812311,Cw,2025,IDFxm/01,4,4,0,0.18,0.04,0.79
IDFdk3_1,4812311,Cw,2055,IDFxm/01,4,3,0.03,0.48,0.08,0.41
IDFdk3_1,4812311,Cw,2085,IDFxm/01,4,4,0.01,0.31,0.05,0.64
IDFdk3_1,4812311,Dr,2085,IDFxm/01,4,4,0,0.06,0,0.94
IDFdk3_1,4812311,Ep,2025,IDFxm/01,4,4,0,0.18,0.12,0.7
IDFdk3_1,4812311,Ep,2055,IDFxm/01,4,3,0,0.51,0.26,0.23
IDFdk3_1,4812311,Ep,2085,IDFxm/01,4,4,0,0.26,0.17,0.58
IDFdk3_1,4812311,Fd,1975,IDFxm/01,2,2,0,1,0,0
IDFdk3_1,4812311,Fd,2000,IDFxm/01,2,2,0.54,0.35,0.12,0
IDFdk3_1,4812311,Fd,2025,IDFxm/01,2,2,0.55,0.37,0.07,0
IDFdk3_1,4812311,Fd,2055,IDFxm/01,2,1,0.69,0.3,0.01,0
IDFdk3_1,4812311,Fd,2085,IDFxm/01,2,2,0.5,0.18,0,0.31
IDFdk3_1,4812311,Hw,2055,IDFxm/01,4,4,0,0,0.09,0.91
IDFdk3_1,4812311,Hw,2085,IDFxm/01,4,4,0,0.06,0.01,0.93
IDFdk3_1,4812311,Lw,2025,IDFxm/01,4,4,0.12,0.25,0,0.62
IDFdk3_1,4812311,Lw,2055,IDFxm/01,4,3,0.34,0.34,0.01,0.31
IDFdk3_1,4812311,Lw,2085,IDFxm/01,4,3,0.18,0.32,0.01,0.5
IDFdk3_1,4812311,Mb,2085,IDFxm/01,4,4,0,0.06,0,0.94
IDFdk3_1,4812311,Pl,1975,IDFxm/01,2,2,0,1,0,0
IDFdk3_1,4812311,Pl,2025,IDFxm/01,2,4,0,0.14,0,0.86
IDFdk3_1,4812311,Pl,2055,IDFxm/01,2,3,0.27,0.29,0,0.44
IDFdk3_1,4812311,Pl,2085,IDFxm/01,2,4,0.11,0.16,0.06,0.67
IDFdk3_1,4812311,Pw,2055,IDFxm/01,4,4,0,0.27,0.03,0.7
IDFdk3_1,4812311,Pw,2085,IDFxm/01,4,4,0,0.11,0.07,0.82
IDFdk3_1,4812311,Py,2000,IDFxm/01,4,1,1,0,0,0
IDFdk3_1,4812311,Py,2025,IDFxm/01,4,1,0.84,0.12,0,0.04
IDFdk3_1,4812311,Py,2055,IDFxm/01,4,2,0.42,0.27,0.11,0.21
IDFdk3_1,4812311,Py,2085,IDFxm/01,4,3,0.34,0.14,0.06,0.46
IDFdk3_1,4812311,Sx,2025,IDFxm/01,4,4,0.04,0.14,0,0.82
IDFdk3_1,4812311,Sx,2055,IDFxm/01,4,4,0.08,0.19,0.27,0.47
IDFdk3_1,4812311,Sx,2085,IDFxm/01,4,4,0.05,0.14,0.11,0.71
IDFdk3_1,4812311,X,2085,IDFxm/01,4,4,0.31,0,0,0.69
IDFdk3_1,4812311,At,2000,IDFxm/02,4,4,0,0,0.01,0.99
IDFdk3_1,4812311,At,2025,IDFxm/02,4,4,0,0,0,1
IDFdk3_1,4812311,At,2055,IDFxm/02,4,4,0,0,0.24,0.76
IDFdk3_1,4812311,At,2085,IDFxm/02,4,4,0,0,0.09,0.91
IDFdk3_1,4812311,Bg,2055,IDFxm/02,4,4,0,0,0.03,0.97
IDFdk3_1,4812311,Bg,2085,IDFxm/02,4,4,0,0,0.03,0.97
IDFdk3_1,4812311,Cw,2055,IDFxm/02,4,4,0,0,0.09,0.91
IDFdk3_1,4812311,Cw,2085,IDFxm/02,4,4,0,0,0.06,0.94
IDFdk3_1,4812311,Dr,2085,IDFxm/02,4,4,0,0,0.03,0.97
IDFdk3_1,4812311,Ep,2055,IDFxm/02,4,4,0,0,0.14,0.86
IDFdk3_1,4812311,Ep,2085,IDFxm/02,4,4,0,0,0.06,0.94
IDFdk3_1,4812311,Fd,1975,IDFxm/02,3,3,0,0,1,0
IDFdk3_1,4812311,Fd,2000,IDFxm/02,3,2,0,0.84,0.16,0
IDFdk3_1,4812311,Fd,2025,IDFxm/02,3,2,0.13,0.63,0.1,0.14
IDFdk3_1,4812311,Fd,2055,IDFxm/02,3,2,0.25,0.52,0.01,0.21
IDFdk3_1,4812311,Fd,2085,IDFxm/02,3,3,0.23,0.28,0,0.48
IDFdk3_1,4812311,Hw,2085,IDFxm/02,4,4,0,0,0.03,0.97
IDFdk3_1,4812311,Lw,2025,IDFxm/02,4,4,0,0.03,0,0.97
