ID1,SiteNo,SS_NoSpace,Spp,Curr,NewSuit,Flag,Suit2025,FailRisk2025,Suit2055,FailRisk2055,Suit2085,FailRisk2085,ID2,Lat,Long,Elev
test,1933169,SBSdk/01,At,1,2,D1,2,Normal,2,Normal,3,Increased,,54.835,-127.12,
test,1933169,SBSdk/01,Cw,4,3,A3,2,Normal,2,Normal,2,Normal,,54.835,-127.12,
test,1933169,SBSdk/01,Ep,2,2,S,2,Normal,2,Normal,3,Increased,,54.835,-127.12,
test,1933169,SBSdk/01,Fd,3,3,S,2,Normal,1,Normal,1,Normal,,54.835,-127.12,
test,1933169,SBSdk/01,Hw,4,3,A3,2,Increased,3,Increased,3,Increased,,54.835,-127.12,
test,1933169,SBSdk/01,Pl,1,1,S,1,Normal,2,Normal,3,Normal,,54.835,-127.12,
test,1933169,SBSdk/01,Sx,1,1,S,2,Normal,2,Normal,3,High,,54.835,-127.12,
test,1933169,SBSdk/02,At,3,3,S,3,Increased,X,High,X,High,,54.835,-127.12,
test,1933169,SBSdk/02,Ep,3,3,S,3,Increased,3,Increased,X,High,,54.835,-127.12,
test,1933169,SBSdk/02,Pl,2,2,S,2,Normal,2,Normal,3,Increased,,54.835,-127.12,
test,1933169,SBSdk/02,Sx,3,3,S,,,X,High,X,High,,54.835,-127.12,
test,1933169,SBSdk/03,At,3,3,S,3,Normal,3,Increased,3,High,,54.835,-127.12,
test,1933169,SBSdk/03,Ep,3,3,S,3,Normal,3,Increased,3,Increased,,54.835,-127.12,
test,1933169,SBSdk/03,Fd,3,3,S,3,High,2,Increased,2,Normal,,54.835,-127.12,
test,1933169,SBSdk/03,Pl,2,2,S,2,Normal,2,Normal,3,Increased,,54.835,-127.12,
test,1933169,SBSdk/03,Sb,3,3,S,,,,,,,,54.835,-127.12,
test,1933169,SBSdk/03,Sx,3,3,S,X,High,X,High,X,High,,54.835,-127.12,
test,1933169,SBSdk/04,At,3,3,S,3,Normal,3,Normal,3,Increased,,54.835,-127.12,
test,1933169,SBSdk/04,Ep,3,3,S,3,Normal,3,Normal,3,Increased,,54.835,-127.12,
test,1933169,SBSdk/04,Fd,2,2,S,2,Increased,2,Normal,1,Normal,,54.835,-127.12,
test,1933169,SBSdk/04,Pl,1,1,S,2,Normal,2,Normal,3,Increased,,54.835,-127.12,
test,1933169,SBSdk/04,Sx,2,2,S,3,High,3,Increased,X,High,,54.835,-127.12,
test,1933169,SBSdk/05,At,3,3,S,2,Normal,2,Normal,3,Increased,,54.835,-127.12,
test,1933169,SBSdk/05,Cw,4,3,A3,3,Increased,3,Normal,3,Increased,,54.835,-127.12,
test,1933169,SBSdk/05,Ep,3,3,S,2,Normal,2,Normal,3,Increased,,54.835,-127.12,
test,1933169,SBSdk/05,Fd,3,3,S,2,Normal,1,Normal,1,Normal,,54.835,-127.12,
test,1933169,SBSdk/05,Hw,4,3,A3,2,Increased,3,High,3,High,,54.835,-127.12,
test,1933169,SBSdk/05,Pl,1,1,S,1,Normal,1,Normal,2,Normal,,54.835,-127.12,
test,1933169,SBSdk/05,Sx,1,1,S,2,Normal,3,Normal,3,High,,54.835,-127.12,
test,1933169,SBSdk/06,Ac,2,2,S,3,Increased,3,Increased,3,Increased,,54.835,-127.12,
test,1933169,SBSdk/06,At,2,2,S,3,Normal,2,Normal,3,Increased,,54.835,-127.12,
test,1933169,SBSdk/06,Cw,4,3,A3,1,Normal,1,Normal,2,Normal,,54.835,-127.12,
test,1933169,SBSdk/06,Ep,2,2,S,2,Normal,2,Normal,3,Increased,,54.835,-127.12,
test,1933169,SBSdk/06,Fd,3,3,S,2,Normal,2,Normal,2,Normal,,54.835,-127.12,
test,1933169,SBSdk/06,Hw,4,3,A3,2,Increased,2,Increased,2,Increased,,54.835,-127.12,
test,1933169,SBSdk/06,Pl,1,1,S,2,Normal,2,Normal,3,High,,54.835,-127.12,
