SiteNo,FuturePeriod,BGC,BGC.pred,BGC.prop
1933169,1975,SBSdk,SBSdk,1
1933169,2000,SBSdk,SBSdk,1
1933169,2025,SBSdk,ICHmc2,0.5625
1933169,2025,SBSdk,IDFmw1,0.4375
1933169,2055,SBSdk,CDFmm,0.0625
1933169,2055,SBSdk,ICHdw1,0.0625
1933169,2055,SBSdk,ICHdw4,0.125
1933169,2055,SBSdk,ICHmc2,0.25
1933169,2055,SBSdk,ICHxw,0.0625
1933169,2055,SBSdk,IDFmw1,0.25
1933169,2055,SBSdk,IDFmw2,0.1875
1933169,2085,SBSdk,BGmw_WA,0.0625
1933169,2085,SBSdk,CDFmm,0.0625
1933169,2085,SBSdk,CDFmm_OR,0.0625
1933169,2085,SBSdk,CWHxm_WA,0.1875
1933169,2085,SBSdk,ICHdw4,0.1875
1933169,2085,SBSdk,ICHmc2,0.0625
1933169,2085,SBSdk,ICHxw,0.1875
1933169,2085,SBSdk,IDFmw1,0.125
1933169,2085,SBSdk,IDFmw2,0.0625
4812311,1975,IDFxm,IDFxm,1
4812311,2000,IDFxm,IDFxh2,1
4812311,2025,IDFxm,IDFxh1,0.375
4812311,2025,IDFxm,IDFxh2,0.625
4812311,2055,IDFxm,ICHxw_WA,0.0625
4812311,2055,IDFxm,IDFmw1,0.125
4812311,2055,IDFxm,IDFmw2,0.1875
4812311,2055,IDFxm,IDFxh1,0.5
4812311,2055,IDFxm,IDFxh2,0.0625
4812311,2055,IDFxm,IGFxm_OR,0.0625
4812311,2085,IDFxm,BGmw_WA,0.3125
4812311,2085,IDFxm,CWHxm_WA,0.0625
4812311,2085,IDFxm,IDFdh_WA,0.0625
4812311,2085,IDFxm,IDFmw1,0.0625
4812311,2085,IDFxm,IDFmw2,0.0625
4812311,2085,IDFxm,IDFxh1,0.375
4812311,2085,IDFxm,IGFxm_OR,0.0625
5065850,1975,IDFdk3,IDFdk3,1
5065850,2000,IDFdk3,IDFdk3,1
5065850,2025,IDFdk3,IDFdk2,0.0625
5065850,2025,IDFdk3,IDFdk3,0.25
5065850,2025,IDFdk3,IDFdk5,0.1875
5065850,2025,IDFdk3,IDFmw2,0.1875
5065850,2025,IDFdk3,IDFxh2,0.25
5065850,2025,IDFdk3,SBSdw2,0.0625
5065850,2055,IDFdk3,ICHxw_WA,0.25
5065850,2055,IDFdk3,IDFdk3,0.0625
5065850,2055,IDFdk3,IDFmw1,0.1875
5065850,2055,IDFdk3,IDFmw2,0.375
5065850,2055,IDFdk3,IDFxh1,0.0625
5065850,2055,IDFdk3,IDFxh2,0.0625
5065850,2085,IDFdk3,BGmw_WA,0.125
5065850,2085,IDFdk3,ICHdw4,0.0625
5065850,2085,IDFdk3,ICHxw_WA,0.125
5065850,2085,IDFdk3,IDFdh_WA,0.0625
5065850,2085,IDFdk3,IDFmw1,0.0625
5065850,2085,IDFdk3,IDFmw2,0.1875
5065850,2085,IDFdk3,IDFxh1,0.0625
5065850,2085,IDFdk3,IDFxh2,0.0625
5065850,2085,IDFdk3,IGFxm_OR,0.125
5065850,2085,IDFdk3,SBSdw2,0.0625
5065850,2085,IDFdk3,SBSmh,0.0625
5095973,1975,IDFdk3,IDFdk3,1
5095973,2000,IDFdk3,IDFxm,1
5095973,2025,IDFdk3,IDFdk1,0.125
