"index","GCM","SSP","RUN","PERIOD","Pl","Lw","Fd","Ac","At","Py","Ep","Pj","Sb","Sx","Bb","Bl","Bg","Cw","Dr","Hw","Mb","Pw","Ss","Bc","Ps","Yp","Oc","Ba","Bp","Yc","Hm","Act","Sw"
1,"obs","obs",NA,"1961_1990",3216,1046,33902,14697,7,0,11346,0,0,1839,0,2272,4974,31732,21538,39839,19371,11201,14201,0,0,0,0,30755,144,17230,20274,0,0
2,"obs","obs",NA,"2001_2020",1544,164,35512,9433,0,0,6130,0,0,485,0,1082,3635,33186,22089,44394,16766,8156,10828,0,0,0,0,28281,56,12120,11182,0,0
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",2426,731,36600,6734,0,0,4348,0,0,604,0,1221,4634,33120,21862,45202,19002,6593,6942,0,0,0,0,26224,69,12933,9537,0,0
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",2522,827,37506,3409,1,0,2269,0,0,453,0,1137,4796,33376,21907,45544,19102,5369,1987,0,0,0,0,24672,54,12423,6035,0,0
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",2518,828,37346,2642,2,0,1928,0,0,786,0,1477,4838,33597,21900,45162,18878,4484,935,0,0,0,0,25388,58,13120,7103,0,0
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",2455,788,37240,5044,0,0,3150,0,0,590,0,904,4695,33204,21863,45485,19002,5978,4752,0,0,0,0,24880,56,12595,7174,0,0
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",2519,809,34511,13920,0,0,10166,0,0,1131,0,1565,4340,32046,21310,40927,19289,10604,12891,0,0,0,0,28847,34,14968,16520,0,0
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",2241,731,34282,13674,0,0,9735,0,0,1063,0,1564,3918,32532,21509,41542,19072,10264,12938,0,0,0,0,29287,64,14838,16256,0,0
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",2355,700,34826,12652,0,0,9064,0,0,1087,0,1494,4218,32106,21532,41365,19196,9742,11762,0,0,0,0,27913,109,14997,15711,0,0
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",2086,672,33580,13899,0,0,9623,0,0,1076,0,1623,3456,32605,21554,41851,18886,10046,13396,0,0,0,0,29741,19,15072,16961,0,0
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",2218,657,35074,12238,0,0,8505,0,0,810,0,1293,4050,32609,21644,42904,19173,9307,11717,0,0,0,0,27898,83,14001,14086,0,0
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",2349,728,34656,13700,1,0,9868,0,0,818,0,1582,3980,32462,21485,42291,19272,10432,12582,0,0,0,0,28648,29,13808,14916,0,0
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",1951,460,35422,7758,0,0,4795,0,0,711,0,1199,4214,33432,22065,44817,18409,6161,9300,0,0,0,0,28265,105,13860,12325,0,0
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",2548,824,35454,12999,0,0,9312,0,0,841,0,1529,4405,32034,21214,42388,19578,9986,11440,0,0,0,0,27215,82,13541,13641,0,0
