"index","GCM","SSP","RUN","PERIOD","Pl","Lw","Fd","Ac","At","Py","Ep","Pj","Sb","Sx","Bb","Bl","Bg","Cw","Dr","Hw","Mb","Pw","Ss","Bc","Ps","Yp","Oc","Ba","Bp","Yc","Hm","Act","Sw"
1,"obs","obs",NA,"1961_1990",4992,2091,40559,28337,14,0,22673,0,0,3569,0,4181,9947,41092,30862,51262,27734,22305,28266,0,0,0,0,31361,257,24924,23169,0,0
2,"obs","obs",NA,"2001_2020",7348,901,47949,25309,6,0,14907,0,0,1133,0,2648,10541,48712,39944,54074,30532,21931,27832,0,0,0,1,31157,4116,19639,15542,0,0
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",9837,2321,49399,17754,7,0,13647,0,0,1520,0,3538,18797,50165,42147,54007,29445,24134,16193,0,0,0,0,28723,8652,23417,13363,0,0
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",11709,2741,48496,9150,11,8,7770,0,0,995,0,5608,25262,48894,46871,54385,28228,30201,5748,4,0,0,0,26860,18133,24690,8118,0,0
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",10153,2680,46806,6066,58,31,5655,0,0,1378,0,7814,25595,46699,45599,53848,26758,31326,3250,26,0,0,0,27404,21861,26413,8756,0,0
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",10984,2690,50301,13841,3,0,11051,0,0,1331,0,3356,21994,50418,44644,54353,29162,26528,11728,0,0,0,0,27319,12088,23984,10119,0,0
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",5615,1953,44901,30854,19,0,23128,0,0,2519,0,3177,9663,45536,34184,51784,30709,23084,28395,0,0,0,0,31461,136,22843,21084,0,0
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",5077,1768,44965,30826,32,0,22204,0,0,2362,0,3155,8792,45725,34422,52569,30756,22354,29100,0,0,0,0,32290,543,22625,21007,0,0
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",5722,1794,45403,28412,5,0,22005,0,0,2418,0,3129,10580,45938,35052,52515,29889,23103,26175,0,0,0,0,30829,1439,23553,20082,0,0
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",4499,1577,44136,31132,66,0,21573,0,0,2398,0,3327,7183,45051,33535,52637,30660,21175,30950,0,0,0,0,33344,68,22589,22166,0,0
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",5789,1818,47695,29211,56,0,21155,0,0,1886,0,2612,9974,48302,36415,53022,31422,22213,26649,0,0,0,0,30951,1288,21984,18864,0,0
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",5906,1874,46827,32176,102,0,23208,0,0,1941,0,3100,8917,47939,35629,52335,32015,23084,28308,0,0,0,0,31386,210,20974,20173,0,0
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",6328,1463,47130,19507,6,0,12806,0,0,1636,0,3499,15100,47729,39027,54137,29322,20060,21841,0,0,0,0,31468,6756,23911,16354,0,0
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",7037,2691,48416,30966,134,0,23707,0,0,2078,0,3068,11195,49289,36869,51842,31884,23757,25277,0,0,0,0,29771,800,21231,18588,0,0
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",5695,1642,44480,27777,25,0,21678,0,0,2735,0,3718,10793,45142,34658,51727,29202,23270,25734,0,0,0,0,31047,1993,23802,20333,0,0
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",5707,1817,43658,28863,31,0,22821,0,0,2960,0,4081,10839,44533,33936,51603,29210,23276,26365,0,0,0,0,31169,1292,23781,21284,0,0
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",5637,1471,44514,23712,26,0,18956,0,0,2683,0,3728,11588,44999,35176,51766,27963,23219,23528,0,0,0,0,30780,4154,25093,19573,0,0
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",5729,1572,45215,28624,19,0,21605,0,0,2620,0,3512,10592,45865,35033,52010,29861,22803,26541,0,0,0,0,31364,1482,23132,20068,0,0
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",6268,1968,45090,31493,23,0,23680,0,0,2719,0,3879,10332,46217,34999,51764,30939,23278,27777,0,0,0,0,31536,222,22082,20911,0,0
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",5777,1983,45158,31481,51,0,23138,0,0,2755,0,3878,9415,46255,34527,52198,30815,22509,28765,0,0,0,0,32167,178,22287,21310,0,0
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",5627,1770,43532,30874,17,0,22763,0,0,2886,0,4328,8921,44908,33929,52300,30004,22034,29041,0,0,0,0,32696,331,22650,22216,0,0
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",6633,2001,46158,31671,4,0,24823,0,0,2471,0,3431,11016,47048,36013,51710,31306,24612,25934,0,0,0,0,30099,345,21865,19631,0,0
23,"MIROC6","ssp245","ensembleMean","2001_2020",6889,1849,47058,31123,0,0,22984,0,0,1985,0,2949,10891,47901,37237,52772,31973,24090,26270,0,0,0,0,30455,882,20930,18438,0,0
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",7151,1961,47420,31756,1,0,23502,0,0,1940,0,2780,10966,48194,37231,52297,32321,24293,26380,0,0,0,0,30293,457,20708,18355,0,0
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",6777,1802,46583,30951,1,0,23405,0,0,2124,0,3009,11072,47361,36635,52413,31572,24409,26230,0,0,0,0,30291,749,21414,18956,0,0
26,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",6411,1792,45401,21919,12,0,17080,0,0,2528,0,4319,14410,46100,36768,52330,28566,21899,21908,0,0,0,0,30592,5012,24587,18536,0,0
27,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",6837,2016,44086,18441,41,0,13848,0,0,2633,0,6160,16756,45228,38041,52320,27876,21568,19033,0,0,0,0,31140,8377,24977,17666,0,0
28,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",6183,1654,46152,25218,3,0,20200,0,0,2378,0,3228,12615,46535,36160,52357,29226,23374,23429,0,0,0,0,29952,2950,23975,18876,0,0
29,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",6185,1757,47365,29769,37,0,21527,0,0,1886,0,2861,10548,48195,36758,52905,31535,22773,26635,0,0,0,0,31087,1329,21682,18834,0,0
30,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",6185,1757,47365,29769,37,0,21527,0,0,1886,0,2861,10548,48195,36758,52905,31535,22773,26635,0,0,0,0,31087,1329,21682,18834,0,0
31,"ensembleMean","ssp245","ensembleMean","2001_2020",6323,1861,46633,29855,8,0,22741,0,0,2208,0,3154,10919,47396,36423,52427,31107,23684,25683,0,0,0,0,30469,1279,22164,19070,0,0
32,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",13714,2600,53864,10035,20,0,7399,0,0,197,0,991,25764,53822,50978,54636,30804,29871,8234,237,237,0,87,23922,15252,20812,3509,0,0
33,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",12926,2845,54531,16711,3,0,12035,0,0,198,0,314,21654,53707,49527,54773,32900,26877,13432,101,101,0,731,22549,9171,17731,4797,0,0
