"index","GCM","SSP","RUN","PERIOD","BAFAun","CDFmm","CMAun","CMAunp","CWHdm","CWHdm_WA","CWHds1","CWHds2","CWHmm1","CWHmm2","CWHms1","CWHms2","CWHvm_WA","CWHvm1","CWHvm2","CWHwm","CWHws1","CWHws2","CWHxm1","CWHxm2","ESSFdv1","ESSFdv2","ESSFdvp","ESSFdvw","ESSFmc","ESSFmk","ESSFmkw","ESSFmw","ESSFmw2","ESSFmwp","ESSFmww","ESSFxv1","ESSFxvp","IDFdc","IDFww","IMAun","IMAunp","MHmm_WA","MHmm1","MHmm2","MHmmp","MSdc1","MSdv"
1,"obs","obs",NA,"1961_1990",741,2142,466,25361,11269,17,2076,39,48,1,2116,100,195,5616,10303,87,99,547,5712,800,98,59,68,105,13,6,2,77,20,34,2,69,43,62,15,23,44,62,9645,4280,85,14,2
2,"obs","obs",NA,"2001_2020",355,274,27,18792,5604,4,281,11,NA,NA,415,2,52,3821,2416,12,3,216,1482,31,1,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1,5,NA,9,2,2886,1368,NA,NA,NA
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",379,584,49,15926,3434,11,1416,11,1,NA,1130,1,78,1877,2225,NA,2,108,348,1,NA,NA,NA,8,NA,NA,NA,NA,4,NA,NA,NA,5,6,5,NA,2,NA,1705,1501,1,NA,NA
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",460,242,44,13027,367,11,1569,8,NA,NA,921,NA,45,576,202,NA,NA,15,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,17,4,NA,NA,NA,592,834,NA,NA,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",586,470,58,12213,63,12,1546,4,NA,NA,981,NA,53,200,93,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,6,7,NA,NA,NA,280,843,NA,NA,NA
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",465,267,46,14371,1727,13,1485,4,NA,NA,1016,NA,52,1186,980,NA,NA,8,86,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,11,9,NA,1,NA,1018,1082,NA,NA,NA
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",264,1901,102,21066,9775,1,1611,18,7,NA,1448,29,49,4534,7641,44,42,258,3999,125,6,5,4,11,NA,NA,NA,1,2,1,NA,NA,NA,16,1,NA,6,12,6250,2900,25,NA,NA
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",268,1305,136,20818,9309,6,1454,16,3,NA,1220,28,94,4720,7214,41,37,304,3307,117,7,5,2,13,NA,NA,NA,NA,5,NA,NA,NA,NA,10,NA,1,8,19,6108,2721,18,NA,NA
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",269,1341,78,21025,8516,10,1372,16,2,NA,1493,22,152,3539,7097,13,31,267,2748,6,17,7,9,13,NA,NA,NA,NA,3,NA,NA,NA,3,18,1,NA,5,28,5958,2689,3,NA,NA
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",294,1496,149,20621,9437,NA,1323,13,5,NA,887,24,31,5147,7776,60,38,314,3070,41,1,3,1,3,NA,NA,NA,NA,2,NA,NA,NA,1,3,NA,NA,9,5,6438,2730,21,NA,NA
