"index","GCM","SSP","RUN","PERIOD","BAFAun","CDFmm","CMAun","CMAunp","CWHdm","CWHdm_WA","CWHds1","CWHds2","CWHmm1","CWHmm2","CWHms1","CWHms2","CWHvm_WA","CWHvm1","CWHvm2","CWHwm","CWHws1","CWHws2","CWHxm1","CWHxm2","ESSFdv1","ESSFdv2","ESSFdvp","ESSFdvw","ESSFmc","ESSFmk","ESSFmkw","ESSFmw","ESSFmw2","ESSFmwp","ESSFmww","ESSFxv1","ESSFxvp","IDFdc","IDFww","IMAun","IMAunp","MHmm_WA","MHmm1","MHmm2","MHmmp","MSdc1","MSdv"
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",230,1112,45,19091,8643,8,1285,13,NA,NA,1276,12,124,3708,5893,6,25,216,1782,1,13,NA,2,17,NA,NA,NA,NA,5,NA,NA,NA,NA,8,1,NA,2,15,4264,2085,1,NA,NA
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",331,1494,103,18691,9700,4,1434,19,3,NA,1061,21,43,4407,6415,38,44,296,3351,16,5,1,NA,17,NA,NA,NA,NA,4,NA,NA,NA,NA,10,NA,1,3,9,4487,2149,4,NA,NA
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",241,529,34,18503,4374,15,882,10,NA,NA,1137,NA,141,3049,3832,4,8,174,395,1,8,NA,3,15,NA,NA,NA,NA,5,1,NA,NA,NA,2,2,NA,2,13,3880,1715,NA,NA,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",453,1678,92,17709,8841,9,1616,16,8,NA,1414,8,120,3511,5842,13,37,241,2543,2,6,4,4,16,NA,NA,NA,NA,6,NA,NA,NA,NA,19,2,NA,NA,17,3243,2140,5,NA,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",380,1567,90,21540,8139,12,1276,20,4,NA,1479,27,158,3490,7178,20,37,325,3104,24,22,11,19,18,NA,NA,NA,NA,11,NA,NA,NA,NA,38,2,5,10,34,6298,2814,16,NA,NA
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",410,1827,109,21724,8646,12,1536,22,13,NA,1528,39,166,3863,7860,33,60,394,3830,97,26,12,22,27,NA,NA,NA,NA,12,NA,NA,NA,1,48,8,9,8,40,6760,3101,30,1,NA
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",429,1211,64,21562,7235,17,1003,17,NA,NA,1422,10,157,2595,6488,14,17,287,1946,1,21,9,20,21,NA,NA,NA,NA,8,1,NA,NA,1,25,1,3,4,29,6250,2669,2,NA,NA
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",344,1508,94,21020,8084,9,1250,16,9,NA,1424,31,151,3831,6923,18,36,299,3136,33,13,7,13,18,NA,NA,NA,NA,5,NA,NA,NA,3,36,1,3,6,29,5771,2731,18,NA,NA
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",357,1988,146,19564,9397,2,1675,20,15,NA,1354,43,73,4459,7246,48,56,393,4109,138,6,1,2,14,NA,NA,NA,2,NA,1,NA,NA,13,23,5,3,1,21,5631,2956,30,1,NA
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",445,1806,201,19574,9875,4,1762,21,5,NA,1356,40,56,4863,7443,56,74,393,3932,117,6,7,3,14,NA,NA,NA,NA,NA,NA,NA,NA,23,31,5,3,2,18,5480,3002,37,NA,NA
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",495,1741,216,20306,9670,3,1581,21,8,NA,1161,51,88,4989,7988,57,63,464,3798,193,7,5,7,22,NA,NA,NA,3,NA,NA,NA,NA,13,21,4,4,6,27,6648,3123,39,1,NA
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",319,1800,82,19329,8856,4,1600,14,6,NA,1447,29,76,3484,6650,20,41,299,3739,60,4,1,2,11,NA,NA,NA,NA,1,1,NA,NA,5,20,5,NA,2,19,5109,2697,19,NA,NA
23,"MIROC6","ssp245","ensembleMean","2001_2020",218,1179,66,19190,8324,2,1408,10,11,NA,1220,27,89,3555,5448,20,24,281,3287,61,NA,NA,NA,7,NA,NA,NA,NA,1,NA,NA,NA,NA,6,NA,NA,3,9,4506,2301,14,NA,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",206,1333,69,19129,8374,2,1454,10,9,NA,1247,25,64,3565,5521,18,20,250,3235,58,NA,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,8,NA,NA,4,12,4317,2239,12,NA,NA
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",227,1346,62,19348,8293,2,1372,11,13,NA,1233,33,81,3470,5948,20,23,273,3393,63,2,NA,NA,7,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,2,11,4965,2437,15,NA,NA
26,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",411,1407,82,19532,5836,11,1346,13,NA,NA,1313,7,155,2611,5627,5,16,207,1716,7,1,2,10,16,NA,NA,NA,NA,6,NA,NA,NA,26,22,2,1,5,19,5008,2441,15,NA,NA
27,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",500,1470,78,18194,4276,12,1526,12,NA,NA,1278,2,163,2543,4244,4,15,234,1273,10,6,1,11,16,NA,NA,NA,NA,7,NA,NA,NA,22,24,2,1,2,21,4606,2341,15,1,NA
28,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",304,1241,73,19767,7312,7,1204,9,NA,NA,1263,15,152,2770,6275,NA,12,146,2185,7,NA,4,1,11,NA,NA,NA,NA,4,NA,NA,NA,20,20,2,NA,5,17,5240,2454,14,NA,NA
29,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",185,1270,66,18813,8364,4,1377,10,3,NA,1295,13,133,3748,5695,14,30,268,2673,13,5,NA,NA,14,NA,NA,NA,NA,2,1,NA,NA,NA,6,NA,NA,NA,11,4290,2155,6,NA,NA
30,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",185,1270,66,18813,8364,4,1377,10,3,NA,1295,13,133,3748,5695,14,30,268,2673,13,5,NA,NA,14,NA,NA,NA,NA,2,1,NA,NA,NA,6,NA,NA,NA,11,4290,2155,6,NA,NA
31,"ensembleMean","ssp245","ensembleMean","2001_2020",249,1452,85,19602,8439,6,1462,13,4,NA,1400,20,133,3460,6148,16,34,291,2904,24,8,1,3,20,NA,NA,NA,NA,3,NA,NA,NA,2,16,1,NA,5,17,4807,2445,17,NA,NA
32,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",333,NA,25,9215,244,6,924,NA,NA,NA,264,NA,18,297,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,8,53,NA,NA,NA
33,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",183,NA,19,9807,1010,5,769,NA,NA,NA,236,NA,12,457,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,14,NA,NA,NA,1,51,NA,NA,NA
34,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",363,NA,30,8103,148,6,1163,NA,NA,NA,226,NA,17,169,18,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,55,NA,NA,NA
35,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",308,NA,21,7114,159,6,799,6,NA,NA,200,NA,16,128,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,29,NA,NA,NA
36,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",136,290,41,16601,7275,15,866,9,NA,NA,838,2,93,3093,3347,5,6,156,724,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,2,NA,3,1,2181,1119,NA,NA,NA
37,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",184,178,25,15238,3269,17,842,11,NA,NA,814,NA,68,2100,1369,NA,NA,50,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,2,NA,2,NA,1566,874,NA,NA,NA
38,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",179,541,39,16669,9375,9,1151,8,NA,NA,1202,1,31,2750,4621,NA,3,47,2345,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,1,NA,2,NA,2382,1343,1,NA,NA
39,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",77,319,38,17727,7631,2,897,8,2,NA,764,13,82,3669,4219,2,3,135,1989,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3461,1373,NA,NA,NA
40,"EC-Earth3","ssp245","ensembleMean","2021_2040",45,113,23,14715,7366,14,817,9,NA,NA,644,NA,59,3447,2366,NA,3,59,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,5,NA,1,NA,1040,632,NA,NA,NA
41,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",243,489,84,15946,5565,12,932,5,NA,NA,547,3,165,3885,3193,12,7,298,640,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2767,1408,NA,NA,NA
42,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",45,71,13,13591,8163,7,613,7,NA,NA,490,NA,5,3409,1726,NA,NA,18,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,6,NA,NA,NA,440,400,NA,NA,NA
43,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",86,32,20,14585,2487,17,769,9,NA,NA,541,1,50,2200,934,NA,3,83,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1,NA,885,596,NA,NA,NA
44,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",183,117,31,16608,4249,7,842,9,NA,NA,680,1,61,2641,2508,5,4,182,424,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2371,1300,1,NA,NA
45,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",175,131,27,16616,6457,9,930,11,NA,NA,850,2,67,2250,3145,10,4,191,543,16,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,3,NA,2215,1345,1,NA,NA
46,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",173,358,50,17139,6036,5,1104,10,NA,NA,820,9,82,2863,3768,1,5,165,1151,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,1,2881,1616,5,NA,NA
47,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",233,28,38,15551,1542,16,525,5,NA,NA,349,NA,60,2275,802,1,3,121,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1425,951,NA,NA,NA
48,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",110,200,81,11710,8902,NA,1086,6,NA,NA,431,21,29,4016,1186,5,3,153,1217,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,474,556,NA,NA,NA
49,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",270,80,29,11821,5232,12,843,5,NA,NA,372,1,52,2534,839,NA,2,81,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327,400,NA,NA,NA
50,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",52,76,67,14250,8218,5,844,5,NA,NA,392,6,16,4488,1798,4,4,155,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1038,771,NA,NA,NA
51,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",442,1158,192,7409,9593,NA,1506,9,NA,NA,521,24,1,4425,1746,20,12,263,3382,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,726,1,NA,NA
52,"MIROC6","ssp245","ensembleMean","2021_2040",103,38,41,15581,4551,12,684,6,NA,NA,487,NA,56,3636,1721,1,5,126,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1309,858,NA,NA,NA
53,"MIROC6","ssp245","r1i1p1f1","2021_2040",68,308,79,15357,8371,NA,1051,5,NA,NA,561,34,5,4538,2766,14,5,142,1801,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1624,1088,2,NA,NA
54,"MIROC6","ssp245","r2i1p1f1","2021_2040",106,NA,21,13206,223,11,436,8,NA,NA,222,NA,28,696,93,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,410,452,NA,NA,NA
55,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",240,268,51,16131,5713,17,1054,7,NA,NA,949,NA,79,2778,3597,NA,6,88,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,5,2,NA,NA,1,1819,1225,1,NA,NA
56,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",522,787,63,15320,8327,9,1315,2,1,NA,1075,NA,75,2948,4349,NA,7,74,1049,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,6,2,NA,NA,2,1686,1380,9,NA,NA
57,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",121,26,44,16152,2863,17,827,9,NA,NA,824,NA,65,2083,2076,4,5,111,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,5,NA,4,NA,1596,1026,NA,NA,NA
58,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",164,10,25,12670,1151,11,610,4,NA,NA,403,NA,33,1767,287,NA,NA,27,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,6,NA,NA,NA,146,264,NA,NA,NA
59,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",164,10,25,12670,1151,11,610,4,NA,NA,403,NA,33,1767,287,NA,NA,27,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,6,NA,NA,NA,146,264,NA,NA,NA
60,"ensembleMean","ssp245","ensembleMean","2021_2040",102,81,31,14308,5145,14,826,7,NA,NA,645,NA,49,2935,1616,2,4,112,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,NA,1,NA,682,673,NA,NA,NA
61,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",83,NA,12,2736,NA,NA,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
62,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",93,NA,25,3441,79,1,591,NA,NA,NA,3,NA,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
63,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",28,NA,10,1489,NA,NA,135,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
64,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",19,NA,10,1340,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
65,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",49,69,23,12671,6718,14,641,6,NA,NA,335,NA,42,3454,912,NA,3,88,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,6,NA,NA,NA,215,285,NA,NA,NA
66,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",95,91,23,13875,5124,15,627,5,NA,NA,560,NA,79,3312,1654,NA,3,80,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,1,NA,636,540,NA,NA,NA
67,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",421,237,47,13959,7713,17,752,6,NA,NA,671,NA,116,4083,2883,2,1,141,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,5,NA,1,1,1054,606,NA,NA,NA
68,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",36,125,20,12468,8575,7,685,7,NA,NA,256,2,10,3694,964,1,2,81,637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,271,247,NA,NA,NA
69,"EC-Earth3","ssp245","ensembleMean","2041_2060",2,NA,2,9570,5326,8,303,2,NA,NA,85,NA,6,3284,30,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,1,12,NA,NA,NA
70,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",8,20,4,11417,6159,8,402,4,NA,NA,195,NA,9,3456,333,NA,NA,5,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,57,112,NA,NA,NA
71,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",NA,NA,6,9553,3434,8,314,2,NA,NA,66,NA,6,3504,24,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,3,15,NA,NA,NA
72,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",26,13,5,9536,6878,5,395,3,NA,NA,125,NA,NA,3321,25,NA,NA,NA,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,2,30,NA,NA,NA
73,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",80,NA,18,14718,678,10,246,4,NA,NA,186,NA,30,2094,153,NA,NA,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,7,NA,NA,NA,277,476,NA,NA,NA
74,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",74,NA,15,14962,618,6,161,2,NA,NA,168,NA,27,2145,146,NA,NA,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,226,358,NA,NA,NA
75,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",134,4,19,14963,988,11,386,5,NA,NA,311,NA,33,1698,374,NA,NA,21,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,6,NA,1,NA,409,607,NA,NA,NA
76,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",65,NA,18,13763,493,10,255,4,NA,NA,154,NA,26,2235,95,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,218,368,NA,NA,NA
77,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",61,24,52,8570,6275,5,696,3,NA,NA,43,2,23,4474,90,NA,1,67,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,12,96,NA,NA,NA
78,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",14,NA,19,11744,4324,5,444,3,NA,NA,203,NA,6,4070,291,NA,NA,19,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,54,231,NA,NA,NA
79,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",427,42,92,4654,5847,13,1165,5,NA,NA,49,2,47,4065,27,NA,2,77,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,69,NA,NA,NA
80,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",115,40,72,5532,7924,NA,715,3,NA,NA,16,3,NA,4760,63,NA,1,70,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,51,NA,NA,NA
81,"MIROC6","ssp245","ensembleMean","2041_2060",46,NA,20,12928,1658,10,395,4,NA,NA,129,NA,36,3004,209,NA,NA,26,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,143,306,NA,NA,NA
82,"MIROC6","ssp245","r1i1p1f1","2041_2060",4,NA,18,13798,4602,6,361,3,NA,NA,152,1,2,3986,814,NA,NA,22,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,278,396,NA,NA,NA
83,"MIROC6","ssp245","r2i1p1f1","2041_2060",44,NA,16,10518,8,5,236,NA,NA,NA,78,NA,15,243,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,29,128,NA,NA,NA
84,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",113,11,30,12778,1941,11,559,7,NA,NA,217,NA,35,2238,217,1,NA,35,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,315,287,NA,NA,NA
85,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",111,29,44,11704,2915,15,654,7,NA,NA,125,7,46,2903,472,2,2,127,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,306,366,NA,NA,NA
86,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",229,4,31,11954,488,11,556,NA,NA,NA,214,NA,23,1149,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,180,206,NA,NA,NA
87,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",11,2,27,7420,4518,10,430,3,NA,NA,8,NA,29,4402,9,NA,1,47,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,13,NA,NA,NA
88,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",11,2,27,7420,4518,10,430,3,NA,NA,8,NA,29,4402,9,NA,1,47,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,13,NA,NA,NA
89,"ensembleMean","ssp245","ensembleMean","2041_2060",41,NA,20,10137,2801,11,436,5,NA,NA,127,NA,28,2715,51,NA,NA,19,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,6,77,NA,NA,NA
90,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",19,NA,8,1668,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
91,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",30,NA,16,2432,287,NA,360,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
