"index","GCM","SSP","RUN","PERIOD","CWHmm1","CWHvh1","CWHvm_WA","CWHvm1","CWHvm2","MHmm1","CWHdm_WA","CWHmm2","CWHvh_WA","CWHwh_WA","CWHxm2","CWHmh_OR","CMXwm_OR","CWHdm"
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",350,NA,417,4553,46,NA,3526,12,8106,11690,4,4927,2935,NA
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",361,NA,478,8023,106,NA,4153,NA,9693,11907,2,231,1612,NA
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",463,NA,936,6727,67,NA,8376,NA,11858,5828,NA,994,1317,NA
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",1,338,2366,22634,350,NA,1620,NA,8450,799,NA,8,NA,NA
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",220,NA,7899,11377,240,NA,5876,NA,9094,1845,NA,15,NA,NA
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",NA,394,93,22969,358,NA,231,NA,10307,2214,NA,NA,NA,NA
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",NA,265,3954,20898,369,NA,785,NA,9025,1270,NA,NA,NA,NA
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",NA,NA,3640,15567,258,NA,3924,NA,10334,2785,NA,58,NA,NA
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",53,1759,5799,26433,393,NA,1446,NA,489,194,NA,NA,NA,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",NA,376,1,22331,221,NA,193,NA,12181,1263,NA,NA,NA,NA
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",35,NA,10224,465,200,NA,8265,NA,8923,8256,NA,198,NA,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",117,NA,4367,12015,235,NA,5699,NA,9793,4340,NA,NA,NA,NA
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",78,NA,1695,16489,241,NA,2535,NA,10911,4583,NA,34,NA,NA
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",245,NA,5841,10618,295,NA,5197,NA,9378,4991,1,NA,NA,NA
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",71,NA,7961,6820,176,NA,9012,NA,9156,3370,NA,NA,NA,NA
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",NA,141,5,27160,211,NA,306,NA,8343,400,NA,NA,NA,NA
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",NA,NA,3001,13728,214,NA,7366,NA,10200,2057,NA,NA,NA,NA
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",NA,3209,405,31446,187,NA,517,NA,527,275,NA,NA,NA,NA
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",NA,765,NA,27278,324,NA,1,NA,8035,156,NA,NA,NA,7
53,"MIROC6","ssp245","ensembleMean","2021_2040",47,NA,2248,16293,185,NA,4733,NA,10092,2951,NA,17,NA,NA
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",NA,NA,1,25231,292,NA,88,NA,10615,339,NA,NA,NA,NA
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",92,NA,8042,1369,116,NA,10161,NA,10102,6467,NA,204,13,NA
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",49,NA,10266,1328,166,NA,11054,NA,9334,4334,NA,35,NA,NA
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",12,NA,13127,5054,270,NA,4760,NA,8768,4558,NA,17,NA,NA
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",243,NA,4263,17332,374,NA,1668,NA,8520,4163,3,NA,NA,NA
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",NA,NA,14616,1405,225,NA,7302,NA,8525,4471,NA,22,NA,NA
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",233,NA,5859,185,139,NA,11501,NA,7415,9107,NA,2124,3,NA
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",233,NA,5859,185,139,NA,11501,NA,7415,9107,NA,2124,3,NA
62,"ensembleMean","ssp245","ensembleMean","2021_2040",63,NA,3393,12982,212,NA,6359,NA,10082,3461,NA,14,NA,NA
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",376,NA,63,328,NA,NA,7440,NA,1583,5570,NA,474,20732,NA
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",307,NA,15,21,NA,NA,6212,NA,NA,5597,NA,530,23884,NA
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",222,NA,93,68,NA,NA,5328,NA,26,4815,NA,233,25781,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",237,NA,53,106,NA,NA,5265,NA,25,6261,NA,246,24373,NA
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",NA,24,232,23318,235,NA,1430,NA,10288,1038,NA,1,NA,NA
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",NA,NA,1318,20119,290,NA,1724,NA,10419,2693,NA,3,NA,NA
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",1,4653,2316,27786,317,NA,1036,NA,331,126,NA,NA,NA,NA
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",NA,983,NA,24660,207,NA,189,NA,9979,548,NA,NA,NA,NA
