"index","GCM","SSP","RUN","PERIOD","CWH","MH","CMX"
1,"obs","obs",NA,"1961_1990",36498,68,NA
2,"obs","obs",NA,"2001_2020",36525,41,NA
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",36566,NA,NA
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",36566,NA,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",36565,1,NA
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",36566,NA,NA
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",36560,6,NA
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",36563,3,NA
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",36562,4,NA
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",36562,4,NA
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",36566,NA,NA
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",36562,4,NA
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",36566,NA,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",36564,2,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",36560,6,NA
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",36549,17,NA
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",36562,4,NA
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",36562,4,NA
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",36562,4,NA
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",36562,4,NA
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",36559,7,NA
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",36564,2,NA
23,"MIROC6","ssp245","ensembleMean","2001_2020",36565,1,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",36562,4,NA
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",36562,4,NA
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",36566,NA,NA
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",36563,3,NA
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",36563,3,NA
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",36563,3,NA
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",36566,NA,NA
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",36566,NA,NA
32,"ensembleMean","ssp245","ensembleMean","2001_2020",36563,3,NA
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",34497,NA,2069
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",33631,NA,2935
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",34954,NA,1612
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",35249,NA,1317
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",36566,NA,NA
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",36566,NA,NA
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",36566,NA,NA
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",36566,NA,NA
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",36566,NA,NA
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",36566,NA,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",36566,NA,NA
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",36566,NA,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",36566,NA,NA
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",36566,NA,NA
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",36566,NA,NA
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",36566,NA,NA
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",36566,NA,NA
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",36566,NA,NA
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",36566,NA,NA
