"index","GCM","SSP","RUN","PERIOD","CWH","MH"
1,"obs","obs",NA,"1961_1990",36498,68
2,"obs","obs",NA,"2001_2020",36497,40
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",36498,NA
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",36498,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",36498,1
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",36498,NA
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",36498,6
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",36498,3
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",36498,4
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",36498,4
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",36498,NA
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",36498,4
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",36498,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",36498,2
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",36498,6
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",36498,17
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",36498,4
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",36498,4
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",36498,4
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",36498,4
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",36498,7
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",36498,2
23,"MIROC6","ssp245","ensembleMean","2001_2020",36498,1
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",36498,4
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",36498,4
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",36498,NA
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",36498,3
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",36498,3
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",36498,3
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",36498,NA
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",36498,NA
32,"ensembleMean","ssp245","ensembleMean","2001_2020",36498,3
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",34429,NA
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",33563,NA
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",34886,NA
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",35181,NA
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",36498,NA
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",36498,NA
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",36498,NA
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",36498,NA
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",36498,NA
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",36498,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",36498,NA
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",36498,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",36498,NA
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",36498,NA
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",36498,NA
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",36498,NA
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",36498,NA
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",36498,NA
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",36498,NA
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",36498,NA
53,"MIROC6","ssp245","ensembleMean","2021_2040",36498,NA
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",36498,NA
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",36485,NA
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",36498,NA
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",36498,NA
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",36498,NA
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",36498,NA
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",36495,NA
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",36495,NA
62,"ensembleMean","ssp245","ensembleMean","2021_2040",36498,NA
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",15766,NA
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",12614,NA
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",10717,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",12125,NA
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",36498,NA
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",36498,NA
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",36498,NA
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",36498,NA
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",35743,NA
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",36384,NA
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",35566,NA
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",36345,NA
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",35234,NA
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",34793,NA
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",36025,NA
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",33475,NA
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",36330,NA
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",36094,NA
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",36039,NA
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",36388,NA
83,"MIROC6","ssp245","ensembleMean","2041_2060",35898,NA
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",36454,NA
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",34149,NA
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",36430,NA
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",36498,NA
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",36498,NA
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",36390,NA
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",34220,NA
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",34220,NA
92,"ensembleMean","ssp245","ensembleMean","2041_2060",35300,NA
93,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",7731,NA
94,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",14196,NA
95,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",7157,NA
96,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",9414,NA
97,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",35652,NA
98,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",35964,NA
99,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",33282,NA
100,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",36214,NA
101,"EC-Earth3","ssp245","ensembleMean","2061_2080",29113,NA
102,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",28960,NA
103,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",29016,NA
104,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",26808,NA
105,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",32009,NA
106,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",34741,NA
107,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",31917,NA
