"index","GCM","SSP","RUN","PERIOD","BAFAun","CDFmm","CMAun","CMAunp","CWHdm","CWHdm_WA","CWHds1","CWHds2","CWHmm1","CWHmm2","CWHms1","CWHms2","CWHvm_WA","CWHvm1","CWHvm2","CWHwm","CWHws1","CWHws2","CWHxm1","CWHxm2","ESSFdv1","ESSFdv2","ESSFdvp","ESSFdvw","ESSFmc","ESSFmk","ESSFmkw","ESSFmw","ESSFmw2","ESSFmwp","ESSFmww","ESSFxv1","ESSFxvp","IDFdc","IDFww","IMAun","IMAunp","MHmm_WA","MHmm1","MHmm2","MHmmp","MSdc1","MSdv","CDFmm_WA","CMAun_WA","CRFdh_CA","CWHmh_OR","CWHvh_WA","CWHwh_WA","CWHxm_WA","ESSFdc2","ESSFdh2","ESSFmw1","MSdm2","BAFAunp","ESSFmw_WA","IMAun_WA","CWHdm_OR","CWHms_WA","ESSFdh1","IDFdk2","MHms_WA","MSdh_UT","ESSFdh_WA","ICHvk1","ESSFwv","ESSFwvp","ICHmw1","ICHwk1","MSdc3","ICHmw2","ESSFmcp","ESSFmcw","ESSFwvw","ICHmc2","ESSFmh","ESSFvcw","ESSFwcw","CMXwm_OR","IGFdk_WA","ESSFmkp","ESSFvc","ESSFwc2","ESSFwh1","ICHmw3","ESSFdc1","ESSFwc4","CWFmm_OR","CWHds_WA","ICHdw_ID","ICHdw1","CWHvm_OR","SWBvks","ESSFwcp","CMXdm_OR","CDFmm_OR","ESSFvh_ID","ESSFwm_MT","GOun_CO","ICHdh_ID","ICHvk_ID","IDFdkx_MT","IDFxh_ID","IGFdw_OR","IGFmm_OR","MSxh_OR","CWHvh1","CWHvh2","ESSFwh3","ESSFwm3","ICHmw4","ICHxw"
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",545,2706,183,22275,11990,1089,1747,62,30,2,2329,213,1087,6014,10589,46,145,919,5287,217,114,49,126,107,NA,6,NA,1,230,29,14,1,16,96,59,199,119,215,8790,4718,94,29,NA,6,NA,NA,39,10,NA,4,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",592,1940,97,22165,11364,3683,1317,75,114,5,2417,115,3724,4642,9791,15,41,617,2876,128,105,52,155,122,NA,NA,NA,NA,410,23,38,NA,24,53,51,167,93,446,8795,3983,6,5,NA,451,31,NA,320,20,1,1321,43,21,6,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",453,2403,141,21686,12026,1510,1495,56,47,38,2476,283,1296,6972,10788,20,126,715,4397,128,51,34,87,65,NA,NA,NA,NA,302,29,13,NA,10,73,40,187,105,196,8607,4502,43,6,NA,NA,NA,NA,283,24,NA,787,12,14,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",550,2944,654,20147,12421,35,1943,55,31,NA,2111,305,193,7795,11312,108,191,1133,5391,288,35,22,12,43,NA,1,1,14,3,16,12,3,21,27,18,18,28,29,8590,5618,362,4,NA,NA,NA,NA,12,29,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",615,2466,1018,19971,12815,104,1940,54,12,NA,1927,191,153,8359,11848,142,218,1100,4904,142,43,24,21,56,3,3,5,8,2,9,6,3,38,41,19,28,19,25,8409,5209,550,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,27,24,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",710,2317,902,20708,12634,146,1748,56,18,NA,1550,396,272,8099,11131,167,145,1382,4709,263,48,15,24,58,3,5,7,8,8,12,5,1,24,22,14,54,35,59,9068,5317,368,4,NA,NA,NA,NA,NA,29,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",484,3061,270,20072,13095,135,1962,51,28,5,2864,259,278,6823,11030,20,224,904,5418,256,32,25,14,41,NA,NA,NA,9,32,22,17,NA,16,23,38,26,28,68,8310,5796,160,2,NA,NA,NA,NA,176,46,NA,440,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"MIROC6","ssp245","ensembleMean","2001_2020",297,2047,213,20108,12536,613,1837,57,46,10,2590,360,761,8094,10711,25,171,862,4427,338,13,7,6,12,NA,NA,NA,3,33,13,10,NA,NA,7,12,23,54,131,8571,4965,91,NA,NA,NA,NA,NA,485,57,NA,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",274,2509,207,20066,12612,222,1942,59,56,10,2757,322,395,8199,11009,18,217,800,4623,414,12,8,6,10,NA,NA,NA,2,65,13,8,NA,1,10,16,17,67,67,8471,4880,63,1,NA,NA,NA,NA,401,59,NA,1670,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",326,2396,216,20257,12505,348,1785,58,43,18,2610,374,643,7504,10734,20,168,794,4923,370,15,9,5,13,NA,NA,NA,4,31,13,12,NA,NA,5,17,21,59,111,8820,5111,98,1,NA,NA,NA,NA,402,100,4,1620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",615,2253,128,20020,9121,6835,1677,52,74,38,2854,221,3992,4765,9250,5,106,785,2261,83,22,53,54,65,NA,NA,NA,1,258,5,19,10,68,43,59,233,51,1076,7841,5680,50,2,NA,4,18,NA,316,16,5,1377,26,13,3,53,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",1058,2240,208,18491,6273,9959,1875,59,14,3,2482,131,6085,4579,7107,4,108,1262,1606,104,61,66,170,138,NA,2,NA,4,322,8,16,7,77,59,92,266,40,2458,6957,6537,111,9,NA,NA,84,NA,219,3,1,1074,22,37,10,48,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",401,2194,188,20557,11440,3838,1548,43,107,132,3040,340,2554,4911,10211,NA,117,463,3270,43,6,36,19,25,NA,NA,NA,1,167,4,13,NA,41,27,46,20,47,416,8484,5381,36,NA,NA,75,2,NA,427,73,28,1683,28,3,11,58,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",249,1884,285,19704,12631,1829,1708,52,9,NA,2508,161,1187,8235,11474,18,160,850,3551,49,29,2,9,28,NA,NA,NA,NA,138,11,8,NA,NA,14,12,21,98,149,8622,4726,155,NA,NA,NA,NA,NA,346,36,NA,1576,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",249,1884,285,19704,12631,1829,1708,52,9,NA,2508,161,1187,8235,11474,18,160,850,3551,49,29,2,9,28,NA,NA,NA,NA,138,11,8,NA,NA,14,12,21,98,149,8622,4726,155,NA,NA,NA,NA,NA,346,36,NA,1576,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"ensembleMean","ssp245","ensembleMean","2001_2020",319,2305,203,20408,12914,1526,1822,56,15,2,2772,220,1108,7100,10990,17,172,791,4085,77,49,22,28,56,NA,NA,NA,NA,182,20,16,NA,10,29,27,54,62,182,8374,4959,100,1,NA,NA,NA,NA,269,21,NA,1181,3,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",589,1,37,9849,1483,12782,2124,5,NA,2,3869,61,15625,2636,4748,NA,3,698,28,NA,NA,NA,6,15,NA,NA,1,NA,155,28,465,NA,16,NA,432,11,NA,2236,3488,6277,4,NA,NA,NA,45,87,2773,NA,182,10733,NA,NA,665,25,NA,NA,7,75,22,27,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",249,24,19,10662,5130,9253,2349,NA,8,92,5588,15,9469,4669,7689,NA,14,44,62,1,NA,NA,1,12,NA,NA,NA,NA,311,7,404,NA,NA,NA,484,42,8,606,3587,6061,13,NA,NA,NA,3,731,4123,NA,128,9937,NA,NA,618,9,NA,NA,NA,25,5,8,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",662,2,30,8614,999,13603,2450,1,25,64,4419,2,16924,1111,4010,NA,NA,12,37,4,NA,NA,NA,3,NA,NA,NA,NA,61,NA,616,NA,65,NA,556,NA,NA,2536,2466,7970,8,NA,NA,NA,146,520,2809,NA,401,9625,NA,NA,993,22,NA,NA,82,191,32,66,NA,6,NA,1,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,406,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",720,7,163,7553,897,15496,2092,65,NA,NA,3045,47,17568,1589,1686,NA,2,2184,18,NA,7,2,39,34,NA,1,1,NA,232,104,306,NA,66,NA,356,1,NA,4403,1718,7048,429,NA,NA,NA,328,NA,1610,NA,50,11446,NA,1,576,23,89,NA,1,85,11,39,NA,NA,1,NA,NA,NA,NA,NA,32,NA,4,NA,NA,NA,NA,NA,NA,NA,339,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",149,362,79,17649,12567,3223,1498,106,4,NA,2895,148,2550,8812,11381,8,74,607,876,2,16,4,2,6,NA,NA,NA,NA,317,16,35,NA,NA,NA,30,12,52,156,8461,4136,22,NA,NA,NA,NA,NA,999,129,48,5078,1,NA,48,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
