"index","GCM","SSP","RUN","PERIOD","BAFAun","CDFmm","CMAun","CMAunp","CWHdm","CWHdm_WA","CWHds1","CWHds2","CWHmm1","CWHmm2","CWHms1","CWHms2","CWHvm_WA","CWHvm1","CWHvm2","CWHwm","CWHws1","CWHws2","CWHxm1","CWHxm2","ESSFdv1","ESSFdv2","ESSFdvp","ESSFdvw","ESSFmc","ESSFmk","ESSFmkw","ESSFmw","ESSFmw2","ESSFmwp","ESSFmww","ESSFxv1","ESSFxvp","IDFdc","IDFww","IMAun","IMAunp","MHmm_WA","MHmm1","MHmm2","MHmmp","MSdc1","MSdv","CDFmm_WA","CMAun_WA","CRFdh_CA","CWHmh_OR","CWHvh_WA","CWHwh_WA","CWHxm_WA","ESSFdc2","ESSFdh2","ESSFmw1","MSdm2","BAFAunp","ESSFmw_WA","IMAun_WA","CWHdm_OR","CWHms_WA","ESSFdh1","IDFdk2","MHms_WA","MSdh_UT","ESSFdh_WA","ICHvk1","ESSFwv","ESSFwvp","ICHmw1","ICHwk1","MSdc3","ICHmw2","ESSFmcp","ESSFmcw","ESSFwvw","ICHmc2","ESSFmh","ESSFvcw","ESSFwcw","CMXwm_OR","IGFdk_WA","ESSFmkp","ESSFvc","ESSFwc2","ESSFwh1","ICHmw3","ESSFdc1","ESSFwc4","CWFmm_OR","CWHds_WA","ICHdw_ID","ICHdw1","CWHvm_OR","SWBvks","ESSFwcp","CMXdm_OR","CDFmm_OR","ESSFvh_ID","ESSFwm_MT","GOun_CO","ICHdh_ID","ICHvk_ID","IDFdkx_MT","IDFxh_ID","IGFdw_OR","IGFmm_OR","MSxh_OR","CWHvh1","CWHvh2","ESSFwh3","ESSFwm3","ICHmw4","ICHxw"
1,"obs","obs",NA,"1961_1990",741,2142,466,25361,11269,17,2076,39,48,1,2116,100,195,5616,10303,87,99,547,5712,800,98,59,68,105,13,6,2,77,20,34,2,69,43,62,15,23,44,62,9645,4280,85,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"obs","obs",NA,"2001_2020",429,546,121,19606,8972,2080,847,183,29,76,1523,254,3377,10373,8817,49,38,794,1957,364,2,8,78,5,NA,NA,NA,NA,311,2,15,NA,NA,2,51,59,330,925,8195,3359,32,NA,NA,87,135,1,3217,252,18,5024,1,6,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",637,749,70,16371,6236,9703,2135,51,6,39,3589,162,7500,4101,8107,NA,89,924,497,107,10,54,44,88,NA,NA,NA,NA,270,16,52,25,59,17,110,233,14,1544,5812,6381,38,2,NA,NA,31,NA,716,NA,50,5700,28,7,92,76,1,16,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",953,278,47,13393,1144,14484,2399,59,2,130,3338,83,14095,1378,1753,NA,5,658,77,44,6,22,57,72,NA,NA,NA,8,184,14,107,39,143,17,210,92,6,6495,3012,6636,3,NA,NA,NA,1388,NA,960,NA,160,7979,38,2,280,129,19,48,70,14,16,2,4,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",1328,537,59,12472,301,16447,2126,39,NA,11,2594,12,15680,411,827,NA,NA,305,73,36,1,21,34,53,NA,NA,NA,17,11,84,403,21,256,7,264,1,3,8673,1974,5472,1,NA,NA,NA,3335,NA,638,NA,179,6338,173,3,558,263,47,129,246,7,24,26,5,11,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",830,345,55,14799,3992,11728,2332,35,2,137,4150,55,10359,2788,5756,NA,32,322,119,50,4,42,27,78,NA,NA,NA,NA,187,1,194,30,91,11,208,83,12,2706,4837,6798,8,1,NA,NA,143,NA,1008,1,113,7450,37,NA,386,151,NA,28,31,NA,8,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",339,2801,379,21871,13089,17,1926,46,16,NA,2282,113,124,7713,11402,57,122,647,4827,180,33,14,14,44,NA,NA,NA,4,27,8,4,2,6,19,3,8,57,12,9358,4570,169,1,NA,NA,NA,NA,87,48,NA,92,NA,1,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",343,2040,508,21568,13124,308,1736,49,8,NA,1868,162,517,8617,11371,83,102,768,4302,166,41,9,15,53,NA,NA,1,2,46,6,2,1,2,11,1,39,78,26,9412,4332,230,2,NA,NA,NA,NA,126,42,NA,406,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,26,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",364,2061,177,21843,12797,1741,1733,55,12,4,2747,158,1297,6395,10876,14,111,572,3900,18,63,27,52,55,NA,NA,NA,3,172,27,13,NA,8,26,32,62,75,150,8997,4422,12,6,NA,6,NA,NA,251,52,NA,1139,8,1,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",378,1912,824,21447,13767,11,1516,48,15,NA,1286,156,62,9561,11767,293,97,925,3724,87,10,3,4,16,NA,NA,1,5,28,6,NA,NA,5,4,NA,9,59,6,9726,4192,422,NA,NA,NA,NA,NA,NA,58,NA,20,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2,13,42,NA,8,2,10,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",305,1655,201,19887,13298,2404,1684,71,NA,NA,2574,80,1232,8056,11895,9,125,676,2716,2,63,17,50,99,NA,NA,NA,1,290,24,11,NA,1,19,22,68,145,56,8496,4274,76,1,NA,NA,NA,NA,308,28,NA,1515,5,NA,5,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,43,2,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",417,2330,552,19246,13993,170,1739,96,4,NA,1755,99,201,8968,12398,95,173,1165,4249,30,29,11,107,112,NA,NA,NA,2,101,18,2,NA,NA,49,8,94,226,9,8649,4336,368,NA,NA,NA,NA,NA,121,33,NA,429,NA,2,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,3,9,79,1,6,NA,NA,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",313,605,106,19373,7320,9192,1362,83,13,NA,2738,81,5557,6683,8736,5,27,691,480,58,56,8,39,62,NA,NA,NA,NA,320,49,54,NA,NA,4,32,73,71,1296,8359,4331,15,NA,NA,NA,40,NA,647,31,33,3461,10,NA,80,63,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",632,2805,550,18136,13280,1689,2484,61,9,NA,2846,35,770,7281,12432,15,236,994,3874,28,35,42,55,131,NA,3,4,NA,190,1,3,NA,14,61,31,64,78,30,7231,5135,537,NA,NA,NA,NA,NA,157,8,NA,343,7,NA,2,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,45,74,6,NA,NA,NA,NA,NA,16,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",498,2530,139,22146,12095,1745,1545,66,47,9,2462,198,1745,6052,10459,24,92,740,4430,100,99,42,131,86,NA,2,NA,NA,337,40,10,2,14,78,49,192,132,260,8730,4312,36,13,NA,22,3,NA,220,31,NA,521,18,13,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
