"index","GCM","SSP","RUN","PERIOD","BAFA","CDF","CMA","CWH","ESSF","IDF","IMA","MH","MS","CRF","ICH","CMX","IGF","CWF","SWB","GO"
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",484,3061,20342,44014,208,61,54,14334,3,NA,2,NA,NA,NA,NA,NA
23,"MIROC6","ssp245","ensembleMean","2001_2020",297,2047,20321,45947,97,19,77,13758,NA,NA,NA,NA,NA,NA,NA,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",274,2509,20273,45785,127,26,84,13481,4,NA,NA,NA,NA,NA,NA,NA
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",326,2396,20473,45023,102,22,80,14140,1,NA,NA,NA,NA,NA,NA,NA
26,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",616,2257,20166,43833,600,102,284,14647,58,NA,NA,NA,NA,NA,NA,NA
27,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",1072,2240,18783,42948,942,151,306,16063,58,NA,NA,NA,NA,NA,NA,NA
28,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",401,2269,20747,44268,361,73,67,14317,60,NA,NA,NA,NA,NA,NA,NA
29,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",249,1884,19989,46380,226,26,119,13652,2,NA,36,NA,NA,NA,NA,NA
30,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",249,1884,19989,46380,226,26,119,13652,2,NA,36,NA,NA,NA,NA,NA
31,"ensembleMean","ssp245","ensembleMean","2001_2020",319,2305,20611,45138,390,56,116,13615,9,NA,4,NA,NA,NA,NA,NA
32,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",589,1,9931,57849,1378,432,18,12005,25,87,11,237,NA,NA,NA,NA
33,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",249,24,10684,58601,1361,484,50,10267,9,731,2,101,NA,NA,NA,NA
34,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",662,2,8790,56719,1805,556,82,12986,22,520,9,406,4,NA,NA,NA
35,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",809,7,8044,57891,1457,356,2,13598,24,NA,36,339,NA,NA,NA,NA
36,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",149,362,17728,51005,445,30,64,12775,2,NA,3,NA,NA,NA,NA,NA
37,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",361,249,16211,49920,983,94,271,14368,106,NA,NA,NA,NA,NA,NA,NA
38,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",207,990,17755,50084,447,38,66,12869,76,NA,31,NA,NA,NA,NA,NA
39,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",89,645,19032,48843,40,25,22,13867,NA,NA,NA,NA,NA,NA,NA,NA
40,"EC-Earth3","ssp245","ensembleMean","2021_2040",61,186,15896,53460,508,52,48,12246,4,NA,102,NA,NA,NA,NA,NA
41,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",311,529,17395,49539,26,5,8,14741,NA,NA,9,NA,NA,NA,NA,NA
42,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",49,133,14740,54708,614,77,87,11960,12,NA,183,NA,NA,NA,NA,NA
43,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",116,75,15765,52553,373,49,29,13601,1,NA,1,NA,NA,NA,NA,NA
44,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",235,253,17702,50316,132,40,47,13838,NA,NA,NA,NA,NA,NA,NA,NA
45,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",211,356,17691,50733,351,44,94,13080,3,NA,NA,NA,NA,NA,NA,NA
46,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",228,667,18263,49304,81,37,55,13923,5,NA,NA,NA,NA,NA,NA,NA
47,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",305,60,16931,49613,34,39,12,15567,NA,1,NA,1,NA,NA,NA,NA
48,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",137,324,13418,54782,2,23,1,13798,NA,NA,78,NA,NA,NA,NA,NA
49,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",416,163,12748,54932,108,48,22,14120,NA,NA,2,4,NA,NA,NA,NA
50,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",55,91,15847,53353,30,22,11,13087,NA,NA,67,NA,NA,NA,NA,NA
51,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",619,1882,11623,53484,3,5,NA,14689,NA,NA,258,NA,NA,NA,NA,NA
52,"MIROC6","ssp245","ensembleMean","2021_2040",113,97,16797,52256,147,39,20,13093,NA,1,NA,NA,NA,NA,NA,NA
53,"MIROC6","ssp245","r1i1p1f1","2021_2040",78,498,16988,51698,12,10,32,13183,NA,NA,64,NA,NA,NA,NA,NA
54,"MIROC6","ssp245","r2i1p1f1","2021_2040",152,2,15451,51351,219,101,29,15257,NA,NA,NA,1,NA,NA,NA,NA
55,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",332,353,17046,51247,518,68,87,12868,32,NA,12,NA,NA,NA,NA,NA
56,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",839,1207,15847,50532,495,123,38,13407,65,NA,10,NA,NA,NA,NA,NA
57,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",135,58,17323,51597,572,41,57,12760,7,NA,13,NA,NA,NA,NA,NA
58,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",198,28,13661,55116,979,77,19,12133,5,NA,334,13,NA,NA,NA,NA
59,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",198,28,13661,55116,979,77,19,12133,5,NA,334,13,NA,NA,NA,NA
60,"ensembleMean","ssp245","ensembleMean","2021_2040",130,184,15425,53804,410,40,29,12523,NA,NA,18,NA,NA,NA,NA,NA
61,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",313,NA,5053,57472,1168,673,92,11578,NA,2178,4,4022,9,1,NA,NA
62,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",142,NA,3935,62216,479,536,NA,10021,NA,2730,30,2474,NA,NA,NA,NA
63,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",316,NA,4747,54445,687,560,137,11586,NA,3839,8,6208,29,1,NA,NA
64,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",209,NA,7441,54766,764,683,210,9443,NA,3348,5,5634,58,2,NA,NA
65,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",57,148,13849,55986,349,59,10,11953,NA,NA,151,1,NA,NA,NA,NA
66,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",120,162,14998,53995,535,56,20,12650,2,NA,25,NA,NA,NA,NA,NA
67,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",560,238,14810,53398,737,41,19,12499,10,NA,251,NA,NA,NA,NA,NA
68,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",38,220,13869,55937,171,52,25,12039,1,NA,211,NA,NA,NA,NA,NA
69,"EC-Earth3","ssp245","ensembleMean","2041_2060",5,11,10661,59342,473,157,12,11244,5,256,347,50,NA,NA,NA,NA
70,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",15,59,12537,57447,459,89,41,11588,2,7,317,2,NA,NA,NA,NA
71,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",NA,5,10687,58790,216,159,NA,12018,NA,430,110,148,NA,NA,NA,NA
72,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",27,58,10499,59706,763,120,125,10273,17,424,551,NA,NA,NA,NA,NA
73,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",105,2,15976,53285,280,124,5,12335,NA,415,NA,36,NA,NA,NA,NA
74,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",93,2,16244,53365,268,160,5,11564,NA,796,NA,66,NA,NA,NA,NA
75,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",163,6,16174,52889,429,100,9,12691,NA,89,NA,13,NA,NA,NA,NA
76,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",80,NA,15180,52830,112,106,2,13676,NA,467,NA,110,NA,NA,NA,NA
77,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",64,47,10546,59014,NA,41,NA,12683,NA,12,141,15,NA,NA,NA,NA
78,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",14,7,12960,56634,123,71,NA,12634,NA,36,25,59,NA,NA,NA,NA
79,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",751,63,7256,60366,32,53,NA,13682,NA,NA,214,90,NA,NA,56,NA
80,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",148,53,8814,60288,NA,22,NA,12913,NA,2,299,24,NA,NA,NA,NA
81,"MIROC6","ssp245","ensembleMean","2041_2060",48,1,14133,55483,103,73,2,12656,NA,20,2,42,NA,NA,NA,NA
82,"MIROC6","ssp245","r1i1p1f1","2041_2060",5,13,15098,55007,72,34,36,12229,NA,11,58,NA,NA,NA,NA,NA
83,"MIROC6","ssp245","r2i1p1f1","2041_2060",62,12,13820,53497,63,189,5,14484,NA,183,NA,248,NA,NA,NA,NA
84,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",172,39,14047,53590,184,80,48,14353,NA,NA,15,35,NA,NA,NA,NA
85,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",154,63,13258,54595,5,43,1,14434,NA,NA,9,1,NA,NA,NA,NA
86,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",334,5,14207,52477,1017,379,49,13607,6,332,NA,150,NA,NA,NA,NA
87,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",17,7,9811,60494,79,26,9,11155,NA,NA,691,274,NA,NA,NA,NA
88,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",17,7,9811,60494,79,26,9,11155,NA,NA,691,274,NA,NA,NA,NA
89,"ensembleMean","ssp245","ensembleMean","2041_2060",46,2,11315,58874,283,99,4,11686,NA,5,104,145,NA,NA,NA,NA
90,"ACCESS-ESM1-5","ssp245","ensembleMean","2061_2080",69,NA,2530,58759,863,642,NA,9884,NA,3766,22,6028,NA,NA,NA,NA
91,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2061_2080",30,1,2922,58279,800,769,3,8259,NA,9082,17,2400,NA,1,NA,NA
92,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2061_2080",41,NA,3093,61549,415,376,NA,9262,NA,1632,279,5916,NA,NA,NA,NA
93,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2061_2080",23,3,7197,46099,1099,723,369,6884,61,10287,36,9316,429,23,NA,14
94,"CNRM-ESM2-1","ssp245","ensembleMean","2061_2080",1,4,11357,58850,229,110,2,11616,NA,6,142,246,NA,NA,NA,NA
95,"CNRM-ESM2-1","ssp245","r1i1p1f2","2061_2080",5,7,12069,58432,347,101,13,11071,1,NA,356,161,NA,NA,NA,NA
96,"CNRM-ESM2-1","ssp245","r2i1p1f2","2061_2080",28,NA,11832,55164,344,272,2,14095,NA,NA,11,815,NA,NA,NA,NA
97,"CNRM-ESM2-1","ssp245","r3i1p1f2","2061_2080",NA,12,10740,59316,123,74,NA,11789,NA,13,186,310,NA,NA,NA,NA
98,"EC-Earth3","ssp245","ensembleMean","2061_2080",2,10,8234,61236,43,77,NA,10832,NA,334,499,1296,NA,NA,NA,NA
99,"EC-Earth3","ssp245","r15i1p1f1","2061_2080",2,21,8769,59710,12,84,NA,11302,NA,825,263,1575,NA,NA,NA,NA
100,"EC-Earth3","ssp245","r1i1p1f1","2061_2080",3,11,7868,62194,103,22,3,10471,NA,78,712,1098,NA,NA,NA,NA
101,"EC-Earth3","ssp245","r4i1p1f1","2061_2080",2,14,8737,59754,97,229,NA,11020,NA,1538,213,959,NA,NA,NA,NA
102,"GFDL-ESM4","ssp245","ensembleMean","2061_2080",59,NA,13485,56212,283,124,10,12031,NA,243,3,113,NA,NA,NA,NA
103,"GFDL-ESM4","ssp245","r1i1p1f1","2061_2080",152,NA,14399,54819,412,189,15,12310,NA,257,NA,10,NA,NA,NA,NA
104,"GFDL-ESM4","ssp245","r2i1p1f1","2061_2080",74,NA,13224,56442,382,140,10,11905,NA,244,2,140,NA,NA,NA,NA
105,"GFDL-ESM4","ssp245","r3i1p1f1","2061_2080",25,8,12444,57257,62,74,1,12158,NA,283,20,231,NA,NA,NA,NA
106,"GISS-E2-1-G","ssp245","ensembleMean","2061_2080",14,NA,9786,59720,2,60,NA,12419,NA,6,77,479,NA,NA,NA,NA
107,"GISS-E2-1-G","ssp245","r1i1p3f1","2061_2080",429,NA,8038,56517,264,323,28,15751,NA,NA,17,1196,NA,NA,NA,NA
108,"GISS-E2-1-G","ssp245","r2i1p3f1","2061_2080",38,1,7023,61660,NA,16,NA,13363,NA,204,56,202,NA,NA,NA,NA
109,"GISS-E2-1-G","ssp245","r3i1p3f1","2061_2080",NA,16,10021,59877,84,77,NA,11463,1,31,158,835,NA,NA,NA,NA
110,"MIROC6","ssp245","ensembleMean","2061_2080",70,NA,12117,55529,14,182,1,13736,NA,464,NA,450,NA,NA,NA,NA
111,"MIROC6","ssp245","r1i1p1f1","2061_2080",59,NA,12483,55325,9,86,NA,13774,NA,314,2,511,NA,NA,NA,NA
112,"MIROC6","ssp245","r2i1p1f1","2061_2080",154,NA,10942,55289,41,273,22,14515,NA,522,NA,805,NA,NA,NA,NA
113,"MPI-ESM1-2-HR","ssp245","ensembleMean","2061_2080",324,NA,10906,55205,295,263,28,14895,NA,NA,26,621,NA,NA,NA,NA
114,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2061_2080",471,NA,11659,53040,506,432,42,14499,NA,433,3,1477,1,NA,NA,NA
115,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2061_2080",205,NA,10603,57016,184,122,6,14011,NA,NA,110,306,NA,NA,NA,NA
116,"MRI-ESM2-0","ssp245","ensembleMean","2061_2080",3,NA,8550,61706,56,47,1,11002,NA,65,478,655,NA,NA,NA,NA
117,"MRI-ESM2-0","ssp245","r1i1p1f1","2061_2080",3,NA,8550,61706,56,47,1,11002,NA,65,478,655,NA,NA,NA,NA
118,"ensembleMean","ssp245","ensembleMean","2061_2080",16,2,9094,61007,183,162,1,11257,NA,143,117,581,NA,NA,NA,NA
119,"ACCESS-ESM1-5","ssp245","ensembleMean","2081_2100",10,NA,2102,48703,360,979,78,8469,18,11554,NA,10235,43,10,NA,2
120,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2081_2100",20,7,3663,47121,631,1084,287,7334,48,11536,5,10711,97,14,NA,5
121,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2081_2100",10,NA,1669,49474,489,1113,56,8657,8,11458,NA,9534,86,9,NA,NA
122,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2081_2100",11,NA,1471,56658,368,574,NA,7170,NA,9964,18,6327,NA,2,NA,NA
123,"CNRM-ESM2-1","ssp245","ensembleMean","2081_2100",NA,6,8429,60971,173,264,NA,10860,NA,614,87,1159,NA,NA,NA,NA
124,"CNRM-ESM2-1","ssp245","r1i1p1f2","2081_2100",1,15,7451,61745,118,164,1,10666,NA,1247,127,1028,NA,NA,NA,NA
125,"CNRM-ESM2-1","ssp245","r2i1p1f2","2081_2100",NA,NA,8655,58430,161,496,NA,11429,NA,1761,3,1628,NA,NA,NA,NA
126,"CNRM-ESM2-1","ssp245","r3i1p1f2","2081_2100",2,18,8673,61122,191,99,1,11162,NA,346,255,694,NA,NA,NA,NA
127,"EC-Earth3","ssp245","ensembleMean","2081_2100",NA,NA,5695,62784,69,189,NA,9807,NA,1375,401,2243,NA,NA,NA,NA
128,"EC-Earth3","ssp245","r15i1p1f1","2081_2100",NA,NA,5575,62581,1,146,NA,9887,NA,1555,349,2469,NA,NA,NA,NA
129,"EC-Earth3","ssp245","r1i1p1f1","2081_2100",1,NA,6423,61091,49,258,NA,10295,NA,1557,123,2762,NA,4,NA,NA
130,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,NA,5173,63042,317,202,NA,9001,NA,655,951,3222,NA,NA,NA,NA
131,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",25,2,11577,56338,5,99,NA,13029,NA,821,NA,667,NA,NA,NA,NA
132,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",15,7,10419,57326,NA,38,NA,12674,NA,1337,2,745,NA,NA,NA,NA
133,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",49,3,13386,52845,55,374,4,13495,NA,1093,NA,1259,NA,NA,NA,NA
134,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",16,1,10625,56978,NA,50,NA,13862,NA,230,NA,801,NA,NA,NA,NA
135,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",16,NA,7880,62318,NA,102,NA,11485,NA,116,37,609,NA,NA,NA,NA
136,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",33,1,6619,63186,13,207,NA,10950,NA,191,39,1324,NA,NA,NA,NA
137,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",17,6,6364,63646,NA,16,NA,12168,NA,57,220,69,NA,NA,NA,NA
138,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",51,NA,7693,61598,NA,165,NA,11846,NA,397,NA,813,NA,NA,NA,NA
139,"MIROC6","ssp245","ensembleMean","2081_2100",24,NA,8674,55449,3,384,3,13560,NA,2714,NA,1751,NA,1,NA,NA
140,"MIROC6","ssp245","r1i1p1f1","2081_2100",241,NA,6448,56003,91,340,3,14421,NA,2216,NA,2781,18,1,NA,NA
141,"MIROC6","ssp245","r2i1p1f1","2081_2100",13,37,9368,56474,NA,207,NA,12232,NA,3392,NA,836,NA,4,NA,NA
142,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",247,12,9402,59949,350,236,NA,11352,NA,689,109,217,NA,NA,NA,NA
143,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",528,47,8567,59422,210,352,NA,12585,6,594,153,99,NA,NA,NA,NA
144,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",57,12,9769,60318,333,152,1,10822,NA,631,107,361,NA,NA,NA,NA
145,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",NA,NA,7452,61439,49,89,NA,10391,NA,327,303,2513,NA,NA,NA,NA
146,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",NA,NA,7452,61439,49,89,NA,10391,NA,327,303,2513,NA,NA,NA,NA
147,"ensembleMean","ssp245","ensembleMean","2081_2100",8,3,6834,61918,151,280,2,10706,NA,1097,73,1491,NA,NA,NA,NA
