"index","GCM","SSP","RUN","PERIOD","BAFA","CDF","CMA","CWH","ESSF","IDF","IMA","MH","MS","CRF","ICH","CMX","IGF","CWF","SWB","GO"
1,"obs","obs",NA,"1961_1990",741,2142,25827,39025,596,77,67,14072,16,NA,NA,NA,NA,NA,NA,NA
2,"obs","obs",NA,"2001_2020",429,633,19862,48244,438,53,389,12511,3,1,NA,NA,NA,NA,NA,NA
3,"ACCESS-ESM1-5","ssp245","ensembleMean","2001_2020",638,749,16472,49712,761,127,251,13775,78,NA,NA,NA,NA,NA,NA,NA
4,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2001_2020",972,278,14828,48778,1022,231,168,16153,133,NA,NA,NA,NA,NA,NA,NA
5,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2001_2020",1375,537,15866,46048,1791,276,250,16131,289,NA,NA,NA,NA,NA,NA,NA
6,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2001_2020",830,345,14997,50437,1107,219,126,14349,152,NA,1,NA,NA,NA,NA,NA
7,"CNRM-ESM2-1","ssp245","ensembleMean","2001_2020",339,2801,22250,42788,162,22,65,14109,10,NA,17,NA,NA,NA,NA,NA
8,"CNRM-ESM2-1","ssp245","r1i1p1f2","2001_2020",343,2040,22076,43755,185,12,117,14000,6,NA,29,NA,NA,NA,NA,NA
9,"CNRM-ESM2-1","ssp245","r2i1p1f2","2001_2020",364,2067,22020,43872,429,58,137,13581,35,NA,NA,NA,NA,NA,NA,NA
10,"CNRM-ESM2-1","ssp245","r3i1p1f2","2001_2020",378,1912,22271,43393,117,4,68,14346,8,NA,66,NA,NA,NA,NA,NA
11,"EC-Earth3","ssp245","ensembleMean","2001_2020",305,1655,20088,46673,574,41,213,12902,63,NA,49,NA,NA,NA,NA,NA
12,"EC-Earth3","ssp245","r15i1p1f1","2001_2020",417,2330,19798,45718,431,57,320,13362,36,NA,94,NA,NA,NA,NA,NA
13,"EC-Earth3","ssp245","r1i1p1f1","2001_2020",313,605,19519,47198,684,36,144,14001,63,NA,NA,NA,NA,NA,NA,NA
14,"EC-Earth3","ssp245","r4i1p1f1","2001_2020",632,2805,18686,46542,525,92,142,12933,87,NA,119,NA,NA,NA,NA,NA
15,"GFDL-ESM4","ssp245","ensembleMean","2001_2020",498,2552,22288,42581,794,127,324,13338,61,NA,NA,NA,NA,NA,NA,NA
16,"GFDL-ESM4","ssp245","r1i1p1f1","2001_2020",545,2712,22458,41819,698,155,318,13817,40,NA,1,NA,NA,NA,NA,NA
17,"GFDL-ESM4","ssp245","r2i1p1f1","2001_2020",592,2391,22293,42586,999,104,260,13230,108,NA,NA,NA,NA,NA,NA,NA
18,"GFDL-ESM4","ssp245","r3i1p1f1","2001_2020",453,2403,21827,43467,617,113,292,13348,43,NA,NA,NA,NA,NA,NA,NA
19,"GISS-E2-1-G","ssp245","ensembleMean","2001_2020",550,2944,20801,43372,183,45,46,14599,4,NA,19,NA,NA,NA,NA,NA
20,"GISS-E2-1-G","ssp245","r1i1p3f1","2001_2020",615,2466,20989,43915,227,60,47,14193,NA,NA,51,NA,NA,NA,NA,NA
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",713,2317,21610,42746,223,36,89,14812,4,NA,13,NA,NA,NA,NA,NA
